Time,Open,High,Low,Last,Change,Volume,"Open Int"
03/08/2013,129.5,140,129.5,136.5,11.15,8,0
03/07/2013,123.75,125.35,123.75,125.35,2.7,9,1015
03/06/2013,124.75,124.75,121.5,122.65,-0.84999999999999,36,1024
03/05/2013,123.5,123.5,123.5,123.5,-0.45,0,1060
03/04/2013,125.8,126.75,123.5,123.95,3.2,52,1060
03/01/2013,126.6,126.75,120.15,120.75,-6.4,317,1076
02/28/2013,123.15,127.5,123.15,127.15,2,623,1345
02/27/2013,127.6,128,125.05,125.15,-1.5,802,1873
02/26/2013,129.45,130,125.5,126.65,-2.7,1084,2581
02/25/2013,130,130.5,129.35,129.35,0.65000000000001,668,3548
02/22/2013,128.5,130.95,127.65,128.7,0.64999999999998,384,4052
02/21/2013,124.55,128.55,124.35,128.05,2.45,506,4322
02/20/2013,123.5,125.7,123.3,125.6,1.3,960,4750
02/19/2013,128,129.25,123.5,124.3,-4.55,1103,5471
02/15/2013,131,131.7,125.4,128.85,-1.8,2698,6091
02/14/2013,129,130.85,128.85,130.65,0.95000000000002,1288,8122
02/13/2013,128.05,129.95,127.1,129.7,1.75,1828,8710
02/12/2013,121.3,128.3,120.55,127.95,6.55,3452,8882
02/11/2013,120.95,122,120.2,121.4,0.85000000000001,908,9945
02/08/2013,121,125.25,119.5,120.55,-0.55,2104,10277
02/07/2013,120,122.9,119.3,121.1,1.1,1245,10512
02/06/2013,122,123.65,119.55,120,-1.85,1741,10916
02/05/2013,120.4,123.7,120.4,121.85,1.45,817,11457
02/04/2013,122.75,123.95,119.65,120.4,-1.35,1324,11622
02/01/2013,120.4,122.4,120,121.75,2.05,1390,11975
01/31/2013,119.6,123.2,118.8,119.7,0.40000000000001,2567,12967
01/30/2013,114.35,119.7,114.1,119.3,5,1896,13034
01/29/2013,114.8,115.25,113.65,114.3,0.25,613,13612
01/28/2013,113.5,116,113.2,114.05,0.64999999999999,1140,13671
01/25/2013,113.05,114.9,112.85,113.4,0.2,870,13687
01/24/2013,115.6,116.8,113,113.2,-2.4,1519,13766
01/23/2013,115.75,116.65,114.8,115.6,0.39999999999999,737,14247
01/22/2013,114.5,117.8,114,115.2,0.65000000000001,2047,14415
01/18/2013,112.75,116.6,112.75,114.55,2.2,1853,14606
01/17/2013,112.75,113.6,111.65,112.35,0.049999999999997,876,15412
01/16/2013,110,113.9,109.9,112.3,2,1640,15480
01/15/2013,111.5,112.5,110,110.3,-1.2,1222,15467
01/14/2013,113.3,115.2,110.9,111.5,-1.3,1452,15266
01/11/2013,113.55,114.65,111.9,112.8,0.39999999999999,1370,15140
01/10/2013,110.95,113.9,110.95,112.4,1.7,1771,15227
01/09/2013,109.95,111.6,109.1,110.7,1.35,1343,15103
01/08/2013,111.05,112.45,109.2,109.35,-1.25,1418,15096
01/07/2013,113,114.45,110.5,110.6,-2.35,1691,15392
01/04/2013,112,115.65,110.65,112.95,1.35,1862,15720
01/03/2013,116.5,117.75,111.4,111.6,-5,2952,15807
01/02/2013,117.55,118,114,116.6,-0.75,2958,16283
12/31/2012,123.75,123.75,117,117.35,-9.15,2704,17248
12/28/2012,132.6,132.6,124,126.5,-5.3,1533,17960
12/27/2012,132.2,134.25,130.6,131.8,0,1492,18394
12/26/2012,133.4,134.8,131.7,131.8,-1.6,931,17662
12/24/2012,133.5,135.15,132.35,133.4,-0.84999999999999,767,17563
12/21/2012,138.1,138.85,133.2,134.25,-3.8,1218,17196
12/20/2012,141.85,142,137.6,138.05,-3.95,1343,16942
12/19/2012,140.05,144.5,139.15,142,2,2429,16738
12/18/2012,137.5,141,137.2,140,1.5,1667,15221
12/17/2012,138.25,139.1,134.6,138.5,0.34999999999999,1387,14012
12/14/2012,137.5,139.25,135.4,138.15,0.65000000000001,1397,12935
12/13/2012,133.25,140.65,132.95,137.5,3.5,2544,12109
12/12/2012,132,137.5,131.4,134,3.9,2019,10149
12/11/2012,126.65,134.45,126.3,130.1,3.95,836,8990
12/10/2012,126.55,127.6,126,126.15,0.75,676,8764
12/07/2012,125.8,127.75,125.25,125.4,-0.55,856,8423
12/06/2012,126.1,126.6,124.25,125.95,0.8,1595,7850
12/05/2012,123.8,126.5,123.2,125.15,0.80000000000001,582,7595
12/04/2012,123,125,122,124.35,1.25,1347,7265
12/03/2012,122.3,127.45,122.3,123.1,-0.80000000000001,561,6290
11/30/2012,124.5,125.2,122.2,123.9,-0.94999999999999,683,5753
11/29/2012,123.75,126.9,123.75,124.85,1.1,458,5075
11/28/2012,124.95,125,121.1,123.75,-2.15,464,4501
11/27/2012,127.9,128.65,124.6,125.9,-2,731,4515
11/26/2012,125.8,128.65,125.45,127.9,1.4,636,4388
11/23/2012,125,127.35,122.15,126.5,0.59999999999999,320,4004
11/21/2012,123.05,127.3,123.05,125.9,2.85,794,4043
11/20/2012,117.6,124.25,117.6,123.05,4.2,445,4012
11/19/2012,118.7,119.05,115.5,118.85,0.64999999999999,262,3985
11/16/2012,118.25,120.6,117.65,118.2,0.95,168,3847
11/15/2012,113.9,119.1,113.9,117.25,3.5,516,3829
11/14/2012,111.05,114.55,111.05,113.75,2.7,383,3882
11/13/2012,108.9,111.25,108.5,111.05,3.05,522,3825
11/12/2012,108.5,109,107.85,108,-1,86,3715
11/09/2012,110.35,110.35,108.75,109,-2.3,248,3697
11/08/2012,112,112,110,111.3,-0.3,101,3565
11/07/2012,110,112.6,109.5,111.6,-0.050000000000011,216,3566
11/06/2012,109,111.8,109,111.65,3.25,291,3408
11/05/2012,108,109.3,107.95,108.4,0.40000000000001,52,3284
11/02/2012,108.25,108.9,107,108,0.049999999999997,102,3287
11/01/2012,110.45,112.8,107.6,107.95,-0.7,146,3270
10/31/2012,108.65,109.45,106.75,108.65,-0.69999999999999,417,3203
10/30/2012,110.75,111,109,109.35,-0.7,69,3068
10/29/2012,113,114.25,109.95,110.05,-3.75,100,3047
10/26/2012,114.5,115,112.6,113.8,-0.35000000000001,71,2980
10/25/2012,113.3,114.95,113.3,114.15,1.65,26,2991
10/24/2012,112.1,112.9,110.65,112.5,-0.40000000000001,68,2996
10/23/2012,114.05,114.9,112.2,112.9,-1.15,50,2962
10/22/2012,114.4,114.85,113.5,114.05,-0.95,69,2945
10/19/2012,115.7,115.85,114.5,115,-0.75,50,2895
10/18/2012,117.5,118.1,115.75,115.75,-1.95,54,2869
10/17/2012,115.1,118,114.15,117.7,2.8,101,2843
10/16/2012,113.5,115,112.95,114.9,0.55000000000001,115,2858
10/15/2012,114,114.35,112.55,114.35,-0.40000000000001,58,2809
10/12/2012,115,116.2,114.25,114.75,-0.55,51,2776
10/11/2012,112.5,118.45,112,115.3,2.2,180,2755
10/10/2012,113.85,114.75,112.5,113.1,-0.75,117,2679
10/09/2012,114.95,114.95,113.5,113.85,-1.05,72,2601
10/08/2012,115.4,116.15,114.45,114.9,-2,29,2561
10/05/2012,116.45,116.9,116,116.9,-0.44999999999999,14,2545
10/04/2012,117,117.35,116.5,117.35,-0.050000000000011,74,2541
10/03/2012,116.25,117.4,116.25,117.4,0,60,2501
10/02/2012,116.05,118.5,116.05,117.4,2,15,2475
10/01/2012,114.9,116.95,114.9,115.4,-0.049999999999997,77,2476
09/28/2012,116.6,116.9,115,115.45,-1.15,76,2458
09/27/2012,115.25,118,115.25,116.6,1.3,168,2413
09/26/2012,115.95,116.8,114.25,115.3,-1.3,75,2265
09/25/2012,119.5,119.5,115.85,116.6,-3.3,70,2208
09/24/2012,124.5,124.5,119.75,119.9,-6.1,119,2194
09/21/2012,125.65,126.5,125.65,126,-0.3,21,2145
09/20/2012,124.65,126.5,124.5,126.3,0.14999999999999,25,2158
09/19/2012,127,127.1,126.15,126.15,0.10000000000001,14,2164
09/18/2012,126.9,126.95,125.25,126.05,-2.1,29,2161
09/17/2012,128.15,129.45,127.3,128.15,-2.65,9,2140
09/14/2012,128.95,130.95,128.95,130.8,2.25,83,2134
09/13/2012,126.6,128.9,126.6,128.55,2.25,61,2170
09/12/2012,124.4,126.75,124.4,126.3,2,28,2211
09/11/2012,126.7,126.7,124.3,124.3,-2.7,42,2204
09/10/2012,127.6,128.7,127,127,-0.55,84,2186
09/07/2012,126.8,127.9,125.55,127.55,2.45,97,2180
09/06/2012,124.7,125.45,124.7,125.1,-0.40000000000001,141,2138
09/05/2012,124.2,126.75,124.2,125.5,2.9,174,2130
09/04/2012,121.95,122.95,121.4,122.6,1.85,55,2099
08/31/2012,122,122,118.45,120.75,1.15,39,2090
08/30/2012,117.95,120.15,117.75,119.6,1.7,34,2084
08/29/2012,117.9,117.9,117.9,117.9,1.65,10,2061
08/28/2012,116.1,116.5,116.1,116.25,0.2,15,2058
08/27/2012,114.5,116.05,114.5,116.05,-4.05,18,2059
08/24/2012,119.7,120.5,119.7,120.1,-1.7,55,2056
08/23/2012,122.15,122.15,121.3,121.8,-2.45,8,2040
08/22/2012,123.5,124.25,123.5,124.25,5.9,39,2044
08/21/2012,118,119.5,117,118.35,3.95,27,2043
08/20/2012,114,115.45,114,114.4,2.65,21,2037
08/17/2012,111.6,112.1,110.5,111.75,0.15000000000001,15,2023
08/16/2012,116.25,116.25,108,111.6,-1,7,2020
08/15/2012,107.45,112.6,107.15,112.6,4.7,48,2016
08/14/2012,107.6,108.1,107.45,107.9,-0.049999999999997,41,1994
08/13/2012,108.4,109.4,107.75,107.95,-1.75,83,1972
08/10/2012,114.4,114.4,108.35,109.7,-3.45,622,1892
08/09/2012,113.2,113.45,113.15,113.15,-1.8,4,1348
08/08/2012,113.25,114.95,113,114.95,1.45,70,1349
08/07/2012,110.5,113.5,110.5,113.5,0.5,5,1303
08/06/2012,114,114,110.55,113,-1.2,5,1300
08/03/2012,112.85,114.2,112.85,114.2,2.95,4,1299
08/02/2012,112.25,112.25,111.2,111.25,0.2,12,1298
08/01/2012,109.25,111.05,108.3,111.05,-0.7,21,1291
07/31/2012,112.75,112.75,111.5,111.75,-1.25,16,1288
07/30/2012,113.05,113.05,113,113,2.4,1,1287
07/27/2012,110.6,110.6,110.6,110.6,0.25,2,1286
07/26/2012,109.25,110.35,109.25,110.35,0.34999999999999,5,1286
07/25/2012,110.55,110.55,110,110,0.75,6,1281
07/24/2012,110.2,110.2,109.25,109.25,0.25,3,1276
07/23/2012,108.2,109.55,108.2,109,-0.45,80,1273
07/20/2012,110.5,111,109.1,109.45,-2.15,14,1202
07/19/2012,114.1,114.15,111,111.6,-3.3,40,1189
07/18/2012,115.3,115.4,112.25,114.9,-0.75,36,1166
07/17/2012,114.95,115.65,114.9,115.65,-0.69999999999999,17,1157
07/16/2012,115.9,116.35,115.8,116.35,-4.15,8,1156
07/13/2012,120.5,120.5,120.5,120.5,-0.90000000000001,2,1158
07/12/2012,121.4,121.4,121.4,121.4,-1.7,0,1156
07/11/2012,122.3,123.1,122.3,123.1,-2.4,7,1156
07/10/2012,125.5,125.5,125.5,125.5,-0.65000000000001,0,1156
07/09/2012,126.2,126.2,126.15,126.15,1.25,2,1181
07/06/2012,125.5,125.5,124.9,124.9,0.80000000000001,10,1182
07/05/2012,125.7,125.7,124.1,124.1,3.55,3,1177
07/03/2012,120.55,120.55,120.55,120.55,3.55,14,1177
07/02/2012,117,117,117,117,-4.75,14,1177
06/29/2012,113.65,121.75,113.65,121.75,7.25,14,1177
06/28/2012,112.05,114.5,112.05,114.5,0.5,4,1167
06/27/2012,114,114,114,114,1.95,0,1165
06/26/2012,113,114.75,110.1,112.05,-3.55,29,1165
06/25/2012,115.1,115.6,114.5,115.6,-2.4,5,1147
06/22/2012,116.6,118,116.6,118,0.2,1,1144
06/21/2012,117.15,117.8,117.15,117.8,-1.6,1,1143
06/20/2012,118,119.4,117.2,119.4,1.3,7,1142
06/19/2012,115.5,118.1,114.55,118.1,1.95,24,1136
06/18/2012,116.15,116.15,116.15,116.15,1.4,3,1124
06/15/2012,114.75,114.75,114.65,114.75,-0.95,2,1121
06/14/2012,115.7,115.7,115.7,115.7,-1.4,0,1120
06/13/2012,117.8,117.8,117.1,117.1,1,3,1120
06/12/2012,117,117,115.95,116.1,-4.3,8,1117
06/11/2012,121.25,121.25,120.4,120.4,-0.55,2,1110
06/08/2012,120.95,120.95,120.95,120.95,-2.1,18,1109
06/07/2012,121.5,123.05,121.5,123.05,-0.65000000000001,3,1091
06/06/2012,123.7,123.7,123.7,123.7,1.7,0,1090
06/05/2012,122.5,122.5,122,122,2.45,1,1090
06/04/2012,119.55,119.55,119.55,119.55,0.2,0,1090
06/01/2012,118,119.35,118,119.35,-0.15000000000001,3,1090
05/31/2012,120.55,120.55,119.5,119.5,-0.5,21,1090
05/30/2012,120,120,120,120,-1.1,0,1081
05/29/2012,120.45,121.1,120.45,121.1,1.8,1,1081
