Time,Open,High,Low,Last,Change,Volume,"Open Int"
05/10/2017,143.15,143.15,143.15,143.15,-4.75,0,0
05/09/2017,147.9,147.9,147.9,147.9,-1.2,0,26
05/08/2017,147.85,149.1,147.85,149.1,1.85,21,26
05/05/2017,147.25,147.25,147.25,147.25,-3.55,0,47
05/04/2017,155,155,150.8,150.8,-4.05,1,47
05/03/2017,154.85,154.85,154.85,154.85,-4.8,0,48
05/02/2017,157.2,159.65,157.2,159.65,-1.6,1,48
05/01/2017,160,162,160,161.25,3.15,27,48
04/28/2017,156,159,155.5,158.1,1.9,320,57
04/27/2017,160.45,161.2,155.1,156.2,-4.55,634,365
04/26/2017,158,161,157.9,160.75,2.7,563,893
04/25/2017,157.8,159,157.1,158.05,0.65000000000001,626,1298
04/24/2017,160,162,157,157.4,-2.6,1100,1781
04/21/2017,160.5,162.9,159,160,-1.05,1157,2971
04/20/2017,165.5,165.85,159.95,161.05,-5.1,923,3237
04/19/2017,163.65,168,163.65,166.15,2.5,690,3878
04/18/2017,158,164.35,156.95,163.65,4.75,1080,3993
04/17/2017,160.5,162.75,154.3,158.9,-1.85,792,4218
04/13/2017,162.25,163.9,159.15,160.75,-0.40000000000001,999,4335
04/12/2017,161.5,162.2,159.65,161.15,-0.59999999999999,430,4814
04/11/2017,166.8,166.8,160.6,161.75,-5.85,1096,4901
04/10/2017,167.5,169.1,166.1,167.6,0.19999999999999,943,5254
04/07/2017,162.25,167.95,162.25,167.4,5.35,972,5591
04/06/2017,159.15,163.65,158.75,162.05,1.3,930,5735
04/05/2017,160,161.95,158,160.75,5.65,1277,5936
04/04/2017,154.15,160.85,151.15,155.1,1.1,1482,6252
04/03/2017,154.95,159.5,152.55,154,-3,1278,6601
03/31/2017,162.8,163.05,152.3,157,-3.55,2925,6771
03/30/2017,169.05,170.3,160.15,160.55,-8.2,2068,7185
03/29/2017,170.35,170.75,167.05,168.75,-1.75,1005,7748
03/28/2017,173.8,173.8,169.3,170.5,-4.5,1223,8003
03/27/2017,180,180.15,171.2,175,-5.35,1691,8469
03/24/2017,183.1,183.45,178.85,180.35,-4.8,934,8814
03/23/2017,187.1,188.3,182.55,185.15,-3.85,1017,8945
03/22/2017,190.3,191.1,187.7,189,-1.3,1434,8933
03/21/2017,182.5,192.05,182.2,190.3,7.45,1994,8513
03/20/2017,180.95,184.5,180.95,182.85,1.9,950,8299
03/17/2017,177.55,181.6,175.55,180.95,3.45,969,8459
03/16/2017,178.25,178.7,176.75,177.5,-0.59999999999999,659,8390
03/15/2017,176,179.15,173.2,178.1,2.8,803,8414
03/14/2017,172.75,177,168.4,175.3,2.5,934,8361
03/13/2017,172.35,173.1,171.05,172.8,0.75,434,8115
03/10/2017,171.2,174.4,170.25,172.05,0.70000000000002,447,8057
03/09/2017,174,176,170.85,171.35,-3.45,881,8042
03/08/2017,175,177.2,174,174.8,-0.69999999999999,752,8118
03/07/2017,173.85,176.3,172.85,175.5,1.65,1022,8177
03/06/2017,168.5,174,168.45,173.85,5.4,1230,8227
03/03/2017,165.1,168.65,164.15,168.45,4.25,801,8170
03/02/2017,161.6,165,161.6,164.2,2.85,856,8134
03/01/2017,160.8,164.45,158.5,161.35,-0.65000000000001,1217,8200
02/28/2017,157,162.25,156.05,162,4.65,1370,8185
02/27/2017,165,165,155.05,157.35,-7.7,2273,7931
02/24/2017,168.15,169.8,164,165.05,-3.1,1467,7757
02/23/2017,167.5,170.25,167.5,168.15,0.70000000000002,1356,7213
02/22/2017,169.15,170,166.85,167.45,-1.9,1343,6950
02/21/2017,171.05,171.4,168.55,169.35,-2.4,1624,6378
02/17/2017,171.95,172,169.95,171.75,1.4,728,5587
02/16/2017,172,173.15,169.1,170.35,0.19999999999999,708,5265
02/15/2017,165.7,172.1,165.7,170.15,4.3,1018,4868
02/14/2017,165,169.5,165,165.85,1.05,438,4406
02/13/2017,165.35,168,164.1,164.8,-1.75,455,4176
02/10/2017,169.5,169.5,161.9,166.55,-2.2,508,3885
02/09/2017,167.8,169.75,166.8,168.75,0.59999999999999,284,3627
02/08/2017,165.5,169.7,165.4,168.15,2.6,254,3434
02/07/2017,162,166,161.9,165.55,3.55,278,3314
02/06/2017,162.5,163.55,161.5,162,-1.5,209,3169
02/03/2017,162.05,164.1,161.5,163.5,0.40000000000001,241,3025
02/02/2017,169.1,169.5,162.4,163.1,-4.75,234,2828
02/01/2017,169.55,170.7,165.7,167.85,-1.7,370,2642
01/31/2017,172.95,172.95,168.6,169.55,-4.25,279,2404
01/30/2017,170.95,174.9,170.95,173.8,3.9,350,2221
01/27/2017,164.35,170.4,162.45,169.9,8.3,230,2030
01/26/2017,163.7,166.8,158.4,161.6,-2.1,185,1945
01/25/2017,163.05,164.2,161.5,163.7,0.64999999999998,200,1874
01/24/2017,161.45,163.5,161,163.05,2.1,234,1758
01/23/2017,165.2,165.25,158.75,160.95,-3.75,473,1647
01/20/2017,166.5,166.7,164.25,164.7,-1.6,150,1450
01/19/2017,167.4,167.4,165.2,166.3,-1.35,257,1377
01/18/2017,171,172.1,165.4,167.65,-3.65,235,1286
01/17/2017,181.35,181.35,170.35,171.3,-9.05,282,1244
01/13/2017,181.45,181.45,179.25,180.35,-1.25,100,1175
01/12/2017,182.9,183.35,181.5,181.6,0.69999999999999,42,1145
01/11/2017,180.75,180.95,178.8,180.9,0.80000000000001,97,1126
01/10/2017,176.4,180.65,175.8,180.1,2.75,153,1102
01/09/2017,181.5,182,176.85,177.35,-3.85,140,1058
01/06/2017,185,185.1,180,181.2,-6.7,493,982
01/05/2017,188.75,188.75,186.75,187.9,-3.65,67,847
01/04/2017,192.35,194,190.05,191.55,-0.79999999999998,147,840
01/03/2017,190.3,192.6,190.3,192.35,0.65000000000001,79,793
12/30/2016,190.3,191.7,190.05,191.7,2.65,41,778
12/29/2016,185.7,189.5,185.1,189.05,2.8,56,762
12/28/2016,187.8,187.8,186,186.25,-1.05,62,759
12/27/2016,187,190.25,186.5,187.3,-0.34999999999999,79,723
12/23/2016,189.7,190,186.8,187.65,-2.85,42,681
12/22/2016,190.45,190.5,189.95,190.5,-2.8,10,672
12/21/2016,197.65,197.65,193.3,193.3,-3.95,28,664
12/20/2016,195,197.4,195,197.25,2.15,13,673
12/19/2016,192.7,198.7,192.7,195.1,3.55,148,674
