Time,K07,K08,K09,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19
2005-10-06,0.003745318,,,,,,,,,,,,
2005-10-07,0,,,,,,,,,,,,
2005-10-10,0.019516334,,,,,,,,,,,,
2005-10-11,-0.029641828,,,,,,,,,,,,
2005-10-12,0.016743407,,,,,,,,,,,,
2005-10-13,0.003781513,,,,,,,,,,,,
2005-10-14,0.012765957,,,,,,,,,,,,
2005-10-17,-0.028524184,,,,,,,,,,,,
2005-10-18,-0.022626263,,,,,,,,,,,,
2005-10-19,0.00896861,,,,,,,,,,,,
2005-10-20,0.02851153,,,,,,,,,,,,
2005-10-21,-0.016494845,,,,,,,,,,,,
2005-10-24,-0.010204082,,,,,,,,,,,,
2005-10-25,-0.012096774,,,,,,,,,,,,
2005-10-26,-0.014308426,,,,,,,,,,,,
2005-10-27,0.004792332,,,,,,,,,,,,
2005-10-28,-0.02416212,,,,,,,,,,,,
2005-10-31,-0.00272056,,,,,,,,,,,,
2005-11-01,0.004293521,,,,,,,,,,,,
2005-11-02,0.003918495,,,,,,,,,,,,
2005-11-03,-0.005455963,,,,,,,,,,,,
2005-11-04,-0.009266409,,,,,,,,,,,,
2005-11-07,-0.002695418,,,,,,,,,,,,
2005-11-08,0.008935509,,,,,,,,,,,,
2005-11-09,-0.001164144,,,,,,,,,,,,
2005-11-10,0.004678363,,,,,,,,,,,,
2005-11-11,0.006276971,,,,,,,,,,,,
2005-11-14,0.002359418,,,,,,,,,,,,
2005-11-15,-0.008576998,,,,,,,,,,,,
2005-11-16,-0.003883495,,,,,,,,,,,,
2005-11-17,0.019398258,,,,,,,,,,,,
2005-11-18,-0.005511811,,,,,,,,,,,,
2005-11-21,0.016,,,,,,,,,,,,
2005-11-22,-0.003189793,,,,,,,,,,,,
2005-11-23,-0.00986972,,,,,,,,,,,,
2005-11-28,-0.004323899,,,,,,,,,,,,
2005-11-29,-0.015860735,,,,,,,,,,,,
2005-11-30,-0.020833333,,,,,,,,,,,,
2005-12-01,-0.015659955,,,,,,,,,,,,
2005-12-02,0.038729667,,,,,,,,,,,,
2005-12-05,-0.011485452,,,,,,,,,,,,
2005-12-06,-0.013222516,,,,,,,,,,,,
2005-12-07,-0.004887218,,,,,,,,,,,,
2005-12-08,-0.018450185,,,,,,,,,,,,
2005-12-09,-0.003676471,,,,,,,,,,,,
2005-12-12,0.001472754,,,,,,,,,,,,
2005-12-13,0.012677107,,,,,,,,,,,,
2005-12-14,0.002616822,,,,,,,,,,,,
2005-12-15,0.008292499,,,,,,,,,,,,
2005-12-16,0.001510004,,,,,,,,,,,,
2005-12-19,0.003029156,,,,,,,,,,,,
2005-12-20,-0.003772161,,,,,,,,,,,,
2005-12-21,-0.00188253,,,,,,,,,,,,
2005-12-22,0.007205157,,,,,,,,,,,,
2005-12-23,0.029274005,,,,,,,,,,,,
2005-12-27,-0.006206362,,,,,,,,,,,,
2005-12-28,-0.003093581,,,,,,,,,,,,
2005-12-29,0.008580343,,,,,,,,,,,,
2005-12-30,-0.004271845,,,,,,,,,,,,
2006-01-03,-0.011516315,,,,,,,,,,,,
2006-01-04,0.003466872,,,,,,,,,,,,
2006-01-05,0.012480499,,,,,,,,,,,,
2006-01-06,-0.033546928,,,,,,,,,,,,
2006-01-09,0.009512938,,,,,,,,,,,,
2006-01-10,0.005355777,,,,,,,,,,,,
2006-01-11,0.003069839,,,,,,,,,,,,
2006-01-12,0.008513932,,,,,,,,,,,,
2006-01-13,0.024990083,,,,,,,,,,,,
2006-01-17,0.012449799,,,,,,,,,,,,
2006-01-18,0.024691358,,,,,,,,,,,,
2006-01-19,0.009975062,,,,,,,,,,,,
2006-01-20,-0.011097411,,,,,,,,,,,,
2006-01-23,-0.015378389,,,,,,,,,,,,
2006-01-24,0.012704918,,,,,,,,,,,,
2006-01-25,-0.012145749,,,,,,,,,,,,
2006-01-26,-0.005636071,,,,,,,,,,,,
2006-01-27,-0.010358566,,,,,,,,,,,,
2006-01-30,-0.006334125,,,,,,,,,,,,
2006-01-31,-0.001581028,,,,,,,,,,,,
2006-02-01,0.018108652,,,,,,,,,,,,
