Time,Open,High,Low,Last,Change,Volume,"Open Int"
07/11/2014,144.25,144.25,144.25,144.25,-0.84999999999999,0,0
07/10/2014,146.5,146.5,142.8,145.1,-3.5,6,1
07/09/2014,148.6,148.6,148.6,148.6,0.19999999999999,0,75
07/08/2014,148.4,148.4,148.4,148.4,0.70000000000002,0,75
07/07/2014,147.7,147.7,147.7,147.7,1.65,0,75
07/03/2014,145.85,146.05,145.85,146.05,0.95000000000002,1,75
07/02/2014,145.5,145.5,145.1,145.1,1.6,2,75
07/01/2014,140.8,143.5,139.6,143.5,2.7,92,77
06/30/2014,143.2,144.6,140.35,140.8,-2.15,304,1014
06/27/2014,141,146.35,140.9,142.95,1.1,285,1068
06/26/2014,146.45,146.5,141.25,141.85,-4.25,274,1177
06/25/2014,149.85,150.45,144.25,146.1,-4.35,910,1253
06/24/2014,157.1,157.1,147.55,150.45,-7.05,1794,1767
06/23/2014,158.25,160,157,157.5,-0.65000000000001,1849,2790
06/20/2014,160,160,157.1,158.15,-1.6,1667,4362
06/19/2014,161.6,161.6,159.55,159.75,-1.3,1974,5658
06/18/2014,161.35,161.5,159.55,161.05,-0.29999999999998,885,7329
06/17/2014,160.7,161.45,159.4,161.35,0.65000000000001,1388,7968
06/16/2014,164.45,164.45,158,160.7,-3.85,2053,8862
06/13/2014,161.8,165.2,160.7,164.55,2.7,1679,10224
06/12/2014,162.05,163.9,161.3,161.85,-0.75,1021,10998
06/11/2014,165.2,165.5,160.5,162.6,-2.45,1285,11700
06/10/2014,164.5,166,164.25,165.05,0.75,1044,11853
06/09/2014,163.1,164.4,163.1,164.3,0.90000000000001,602,11973
06/06/2014,163.95,164.35,163.05,163.4,-0.54999999999998,642,12067
06/05/2014,163.45,164.45,163,163.95,0.34999999999999,548,12323
06/04/2014,162.9,165,162.2,163.6,0.75,649,12561
06/03/2014,160.4,163,160.4,162.85,2.5,934,12613
06/02/2014,159.5,161.45,159.5,160.35,0.94999999999999,892,12805
05/30/2014,156.55,159.95,156,159.4,3.3,861,12949
05/29/2014,157.9,158.6,155.4,156.1,-1.8,779,13290
05/28/2014,156.75,159.4,156,157.9,-0.15000000000001,465,13575
05/27/2014,158.4,160.2,156.8,158.05,-0.34999999999999,1109,13678
05/23/2014,158.55,159.6,158.3,158.4,-0.34999999999999,521,13971
05/22/2014,158.95,159.95,158,158.75,1.05,960,13971
05/21/2014,155.25,158.85,155.25,157.7,2.05,576,14087
05/20/2014,156.1,158.5,155.2,155.65,-0.54999999999998,429,14149
05/19/2014,155.2,156.8,154.15,156.2,1.1,476,14149
05/16/2014,155.45,156.6,153.5,155.1,-1.55,1248,14178
05/15/2014,162.8,163.7,154.5,156.65,-6.05,1759,14470
05/14/2014,161.85,163.5,160.65,162.7,0.94999999999999,446,15295
05/13/2014,161.2,162.2,160.3,161.75,0.5,295,15311
05/12/2014,159.35,161.95,158.95,161.25,0.80000000000001,354,15320
05/09/2014,162.25,164.15,159.25,160.45,-0.75,1347,15429
05/08/2014,161.5,163.9,160.55,161.2,-1.7,622,15359
05/07/2014,160.2,163.25,160.15,162.9,2.9,653,15547
05/06/2014,160.65,161.1,160,160,-0.40000000000001,345,15450
05/05/2014,160,161.95,160,160.4,0.15000000000001,459,15478
