Time,Open,High,Low,Last,Change,Volume,"Open Int"
09/12/2011,167.35,167.35,167.35,167.35,-3.4,0,0
09/09/2011,175,176.5,170.75,170.75,-2.5,6,15
09/08/2011,179.5,179.5,173.25,173.25,-8.75,10,15
09/07/2011,175.15,182,175.15,182,6.95,6,21
09/06/2011,174.75,175.15,174.75,175.05,4.6,3,24
09/02/2011,169.05,171.75,169.05,170.45,0.79999999999998,24,42
09/01/2011,167.55,169.65,167.55,169.65,1.1,118,96
08/31/2011,167.25,168.55,165,168.55,1.95,90,685
08/30/2011,165.75,168.2,165.4,166.6,-0.099999999999994,230,827
08/29/2011,167.5,169.5,165,166.7,-0.95000000000002,450,1017
08/26/2011,167.65,167.8,165,167.65,1,690,1349
08/25/2011,170.2,170.2,165.05,166.65,1.4,752,1997
08/24/2011,168.75,170.5,165,165.25,-4.5,797,2701
08/23/2011,175.4,175.9,169.7,169.75,-4.85,560,3529
08/22/2011,175,177.65,170.1,174.6,-0.55000000000001,1071,4012
08/19/2011,174.2,176.1,173.7,175.15,0.75,771,4807
08/18/2011,175.05,177.15,173.3,174.4,-4.3,708,5467
08/17/2011,173.15,179.3,173.15,178.7,5.5,1759,5893
08/16/2011,170,176.75,169.5,173.2,4.35,1457,6900
08/15/2011,166.8,172.55,166.65,168.85,2.35,1584,7512
08/12/2011,164.4,167.25,161.7,166.5,2.65,2177,8607
08/11/2011,159.2,164.4,159.2,163.85,5,2583,10146
08/10/2011,168.15,169,158.6,158.85,-9.5,4707,11633
08/09/2011,171.8,177.2,168.2,168.35,-3.45,4153,14175
08/08/2011,181.15,181.15,171.35,171.8,-9.35,5116,16469
08/05/2011,190.1,190.15,180.2,181.15,-8.95,4162,19447
08/04/2011,197.7,197.85,190,190.1,-7.8,3301,21761
08/03/2011,201.8,201.8,197.05,197.9,-3.75,1372,23904
08/02/2011,200.7,202.5,200.1,201.65,0.95000000000002,691,24371
08/01/2011,199.85,201.9,199.75,200.7,0.94999999999999,1304,24548
07/29/2011,199.1,200.85,198.95,199.75,0.84999999999999,1002,24981
07/28/2011,198.7,201,198.35,198.9,0.15000000000001,1392,25494
07/27/2011,198.25,200.5,198.25,198.75,-0.099999999999994,458,26564
07/26/2011,198.95,199.5,198.4,198.85,0.099999999999994,661,26670
07/25/2011,197.3,199.65,196.7,198.75,1.45,537,26599
07/22/2011,196.5,198.2,196,197.3,-0.099999999999994,620,26518
07/21/2011,201,201.15,196.6,197.4,-2.6,752,26540
07/20/2011,201.5,202,197.6,200,-1.3,855,26493
07/19/2011,197.25,202.65,196.9,201.3,3.5,885,26282
07/18/2011,197,198.85,196.15,197.8,0.45000000000002,834,26163
07/15/2011,196,197.9,192.8,197.35,1.35,912,26091
07/14/2011,191.6,197,191.2,196,4.15,1194,25888
07/13/2011,189.85,191.95,189.5,191.85,2.55,698,25635
07/12/2011,187,190.9,185.05,189.3,2.35,1031,25776
07/11/2011,191.15,192,186.5,186.95,-4.2,1082,25764
07/08/2011,191.05,192,190,191.15,0.55000000000001,691,26291
07/07/2011,188.8,191,188.7,190.6,1.8,560,26273
07/06/2011,185.1,190.35,185.1,188.8,2.2,919,26215
07/05/2011,187.45,188,185.4,186.6,0.049999999999983,753,26061
07/01/2011,188,188.75,186.05,186.55,-0.54999999999998,1170,26038
06/30/2011,186.8,187.8,185.5,187.1,0.29999999999998,1635,25990
06/29/2011,188.15,188.9,185.95,186.8,-1.8,1585,25845
06/28/2011,191.55,191.7,188.15,188.6,-2.95,1287,26050
06/27/2011,191.6,192.65,184.7,191.55,-1.1,1569,25771
06/24/2011,187,193.7,186.2,192.65,5.55,1404,25224
06/23/2011,190,190,186.15,187.1,-0.65000000000001,1489,24776
06/22/2011,188.65,190.25,187.4,187.75,-1.6,2044,23871
06/21/2011,182.45,190.5,180.85,189.35,6.65,4842,22646
06/20/2011,178,183.25,177.25,182.7,4.45,2397,19669
06/17/2011,177,179.7,176.15,178.25,0.55000000000001,2815,17984
06/16/2011,180,180,175.2,177.7,-2.5,4380,16101
06/15/2011,182.15,182.5,180.1,180.2,-2.35,1479,14323
06/14/2011,179.15,183.3,179.05,182.55,2.95,1669,13628
06/13/2011,181,181,178.5,179.6,-1.2,1667,12800
06/10/2011,179.05,181.1,179,180.8,0.95000000000002,744,11605
06/09/2011,178.25,180.05,177.95,179.85,1.9,960,11358
06/08/2011,179.25,180.05,177.75,177.95,-2.2,1107,10732
06/07/2011,181.5,183,179.5,180.15,-1.65,1869,10104
06/06/2011,179.25,182.4,179.05,181.8,3.7,1017,8428
06/03/2011,179.3,180.5,177.55,178.1,-1.05,714,7506
06/02/2011,178.05,179.95,178,179.15,1.4,686,6923
06/01/2011,178.15,178.75,176.75,177.75,-0.40000000000001,707,6643
05/31/2011,179.9,180.75,177.55,178.15,-2,975,5753
05/27/2011,179.7,181.65,178.95,180.15,0.55000000000001,308,5240
05/26/2011,179.8,179.9,177.3,179.6,-0.20000000000002,286,5134
05/25/2011,177.75,180.25,176.2,179.8,2.4,526,5023
05/24/2011,174.85,177.75,174.85,177.4,1.45,178,5034
05/23/2011,172.75,176.65,172.75,175.95,0.54999999999998,271,4970
05/20/2011,177.75,177.75,172.6,175.4,-2.35,258,4806
05/19/2011,174.5,178,174.5,177.75,3.75,362,4717
05/18/2011,175.95,175.95,173.3,174,-0.15000000000001,189,4610
05/17/2011,174.7,177.7,173,174.15,-0.34999999999999,246,4512
05/16/2011,172.5,175,172.25,174.5,-0.84999999999999,295,4440
05/13/2011,171.7,176.8,171.7,175.35,4.5,1121,4261
05/12/2011,167,172.55,166.3,170.85,3.95,757,3556
05/11/2011,169.8,169.8,166.25,166.9,0.65000000000001,648,3267
05/10/2011,163.15,170,163.15,166.25,3.15,191,2795
05/09/2011,163.4,163.65,163,163.1,-1.55,70,2688
05/06/2011,166.6,166.8,163.9,164.65,-2.3,291,2693
05/05/2011,167.05,167.3,166.25,166.95,-1.4,211,2566
05/04/2011,168,168.5,164.55,168.35,0.44999999999999,283,2435
05/03/2011,165.1,168,165.05,167.9,2.2,265,2318
05/02/2011,167,168,164.5,165.7,0.75,213,2197
04/29/2011,165,165.4,164.35,164.95,1.6,209,2066
04/28/2011,162.6,166.4,161.6,163.35,0.84999999999999,100,1977
04/27/2011,162.5,163,161.85,162.5,-0.099999999999994,45,1910
04/26/2011,163.7,163.7,162.35,162.6,-1.6,126,1898
04/25/2011,164.9,165.95,162.75,164.2,-0.75,27,1868
04/21/2011,166,166.95,163,164.95,-1.6,219,1867
04/20/2011,165,167,165,166.55,2.45,416,1720
04/19/2011,163,164.35,163,164.1,1.45,225,1586
