Time,Open,High,Low,Last,Change,Volume,"Open Int"
11/08/2019,97.3,97.3,97.3,97.3,1.25,28,0
11/07/2019,96.95,96.95,96.05,96.05,0.64999999999999,209,28
11/06/2019,95.4,95.4,95.4,95.4,-0.94999999999999,6,243
11/05/2019,96.35,96.35,96.35,96.35,1.15,0,443
11/04/2019,95,95.95,95,95.2,0.049999999999997,11,443
11/01/2019,96,96,95.15,95.15,-0.69999999999999,10,454
10/31/2019,94.65,96.4,93.6,95.85,0.75,277,460
10/30/2019,94.8,95.45,92.6,95.1,0.39999999999999,764,703
10/29/2019,94.1,95,93.4,94.7,1.3,941,1037
10/28/2019,98.15,98.8,93.05,93.4,-4.65,1036,1735
10/25/2019,97.65,98.55,96.75,98.05,0.25,748,2378
10/24/2019,98.1,99,97.5,97.8,-0.40000000000001,729,2859
10/23/2019,97.65,98.6,97.4,98.2,0.25,970,3436
10/22/2019,98.35,98.7,97.65,97.95,-0.2,1332,4175
10/21/2019,99.35,100.15,97.85,98.15,-1.2,1480,5035
10/18/2019,99.55,99.9,98.6,99.35,-0.45,1589,5682
10/17/2019,100.8,101.25,99.2,99.8,-0.65000000000001,1690,7315
10/16/2019,99.55,101.15,99.55,100.45,0.3,1681,8622
10/15/2019,99.5,101,99.05,100.15,0.75,1065,9879
10/14/2019,96.95,99.75,96.95,99.4,2,1302,10477
10/11/2019,97.1,97.95,96.8,97.4,0.40000000000001,733,11483
10/10/2019,99.3,99.7,96.7,97,-0.75,907,11587
10/09/2019,101.8,102.45,97.25,97.75,-4.55,1137,11577
10/08/2019,103.45,104.5,101.25,102.3,-1.15,1095,11696
10/07/2019,99.85,103.7,99.85,103.45,3.4,1006,11963
10/04/2019,100,100.3,99.5,100.05,0.14999999999999,579,12299
10/03/2019,99.65,100.35,99.25,99.9,0.80000000000001,546,12467
10/02/2019,99.25,99.75,98.65,99.1,0.34999999999999,470,12658
10/01/2019,99.9,99.95,98.05,98.75,-1,767,12799
09/30/2019,100.05,100.1,98.3,99.75,-0.099999999999994,493,13078
09/27/2019,97.55,100,97.55,99.85,2.35,868,13096
09/26/2019,96.8,98.05,96.5,97.5,0.5,752,13652
09/25/2019,98.9,99.05,96.05,97,-1.25,1078,13615
09/24/2019,99.7,100.4,98.15,98.25,-1.85,493,13375
09/23/2019,100.5,100.6,99.1,100.1,-0.050000000000011,300,13189
09/20/2019,99,101.05,99,100.15,1.5,665,13201
09/19/2019,99.15,99.9,98,98.65,-0.44999999999999,537,13444
09/18/2019,101,101.1,98.7,99.1,-1.75,498,13343
09/17/2019,102.4,102.7,100.35,100.85,-1.2,520,13221
09/16/2019,102.2,103.55,101.75,102.05,0.099999999999994,408,13217
09/13/2019,103,103.05,101.7,101.95,-1.05,473,13267
09/12/2019,104.05,105,102.65,103,-2.25,454,13269
09/11/2019,104.05,105.5,103.2,105.25,1.4,699,13282
09/10/2019,102,104.15,101.5,103.85,1.95,509,13459
09/09/2019,101.9,103.15,101.2,101.9,-0.099999999999994,219,13455
09/06/2019,104.5,104.5,101.65,102,-2.25,415,13435
09/05/2019,102.75,104.95,102.5,104.25,1.5,1048,13486
09/04/2019,99.6,103.5,98.3,102.75,2.55,1214,13582
09/03/2019,103.9,103.9,97.1,100.2,-3.55,2079,13967
08/30/2019,109.55,110,103.2,103.75,-4.25,2054,14279
08/29/2019,106,109.15,106,108,3.15,2944,14289
08/28/2019,101.95,105.2,101.95,104.85,2.6,1559,13768
08/27/2019,100.25,102.85,100.25,102.25,1.05,1446,13617
08/26/2019,98,101.9,97.9,101.2,2.9,1119,13433
08/23/2019,98.35,99.65,97.7,98.3,-0.90000000000001,1238,13041
08/22/2019,100.3,100.9,98.05,99.2,-1.25,934,12310
08/21/2019,98.35,101.1,97.5,100.45,2.55,1523,11832
08/20/2019,96.45,98.25,95.4,97.9,1.55,1886,11011
08/19/2019,101,101.9,94.65,96.35,-4.65,2791,9532
08/16/2019,100.15,102.55,98.45,101,0.8,2059,7350
08/15/2019,101.75,101.75,99.6,100.2,-1.5,777,5696
08/14/2019,102,102.6,101.4,101.7,-0.099999999999994,435,5061
08/13/2019,102.25,102.55,101.5,101.8,0.2,606,4816
08/12/2019,104.35,105.25,101.1,101.6,-3.35,300,4515
08/09/2019,104,105.25,102.8,104.95,0.5,252,4332
08/08/2019,104.6,105.75,104,104.45,0.65000000000001,201,4165
08/07/2019,105.7,105.7,103.3,103.8,-1.7,261,4019
08/06/2019,102.25,105.7,100.9,105.5,3.65,596,3841
08/05/2019,101.75,102.2,99.3,101.85,-0.65000000000001,380,3576
08/02/2019,103.65,103.75,101.75,102.5,-1.35,375,3315
08/01/2019,106.05,106.05,103.4,103.85,-2.3,353,3082
07/31/2019,104.65,106.3,104.5,106.15,1.05,240,2862
07/30/2019,105.8,106.2,105,105.1,0.8,169,2699
07/29/2019,104.9,105,103.85,104.3,-0.90000000000001,318,2590
07/26/2019,105.3,106.7,104.9,105.2,-1.7,185,2406
07/25/2019,106.15,107.15,106.15,106.9,0.050000000000011,162,2306
07/24/2019,105.7,107.2,105.7,106.85,2.1,155,2242
07/23/2019,105.75,105.75,104.6,104.75,-1.5,79,2234
07/22/2019,106.1,106.7,105.35,106.25,-0.55,119,2224
07/19/2019,104,107.25,104,106.8,2.85,122,2132
07/18/2019,105.7,105.75,103.85,103.95,-2.3,133,2088
07/17/2019,107.15,107.15,104.9,106.25,-1.35,110,1984
07/16/2019,106.3,107.8,105.5,107.6,3.35,27,1898
07/15/2019,105.9,106.2,104.1,104.25,-1.9,87,1894
07/12/2019,105.7,107,105.4,106.15,1.05,14,1846
07/11/2019,105.8,105.9,104.9,105.1,-0.75,21,1841
07/10/2019,105.8,106.5,105.8,105.85,0.099999999999994,14,1838
07/09/2019,107.65,107.65,104.6,105.75,-2,98,1836
07/08/2019,104.95,107.95,104.95,107.75,3.25,159,1788
07/05/2019,104.15,105.1,103.5,104.5,0.84999999999999,245,1684
07/03/2019,103.05,104.2,102,103.65,0.35000000000001,107,1634
07/02/2019,104.5,105.65,103.1,103.3,-0.45,90,1661
07/01/2019,108.3,108.7,103.3,103.75,-3.45,162,1693
06/28/2019,106.75,107.85,106.75,107.2,2.1,33,1748
06/27/2019,105.45,105.7,104.75,105.1,-0.2,114,1738
06/26/2019,106,106,104.75,105.3,-2.7,45,1725
06/25/2019,108.8,108.8,108,108,0.95,38,1720
06/24/2019,105.65,107.45,104.5,107.05,0.84999999999999,65,1703
06/21/2019,105,106.2,105,106.2,0.35000000000001,93,1692
06/20/2019,104.85,106.1,104.5,105.85,1.5,118,1701
