Time,Open,High,Low,Close
02/07/2020,387.85,389.71,384.67,386.19
02/06/2020,386.27,392.13,383.7,387.19
02/05/2020,380.32,390.24,380.32,386.27
02/04/2020,381.34,388,380.04,380.32
02/03/2020,388.8,389.36,380.12,381.34
01/31/2020,392.01,396.96,386.86,388.8
01/30/2020,398.74,398.74,390.01,392.01
01/29/2020,400.39,403.98,397.5,398.74
01/28/2020,398.33,402.31,395.57,400.39
01/27/2020,406.26,406.26,395.78,398.33
01/24/2020,413.64,415.11,405.08,406.26
01/23/2020,418.52,418.52,410.7,413.64
01/22/2020,425.14,425.25,417.7,418.52
01/21/2020,426.91,428.31,423.08,425.14
01/17/2020,425.84,427.66,425.13,426.91
01/16/2020,425.45,427.74,424.27,425.84
01/15/2020,427.71,428.43,423.99,425.45
01/14/2020,426.38,429.52,424.73,427.71
01/13/2020,430.16,430.78,425.3,426.27
01/10/2020,430.65,432.03,428.99,430.11
01/09/2020,431.08,433.27,427.64,430.6
01/08/2020,442.35,453.16,429.14,431.03
01/07/2020,444.62,444.62,439.8,442.35
01/06/2020,443.34,451.06,443.15,444.62
01/03/2020,436.81,448.18,436.81,443.34
01/02/2020,436.21,438.34,434.9,436.81
12/31/2019,439.57,440.2,435.27,436.21
12/30/2019,440.27,443.33,437.09,439.57
12/27/2019,439.69,441.16,438.64,440.27
12/26/2019,435.98,439.98,435.95,439.69
12/24/2019,433.03,436.5,432.99,435.98
12/23/2019,433.29,434,431.52,433.03
12/20/2019,434.96,435.81,431.88,433.29
12/19/2019,433.1,435.78,432.74,434.96
12/18/2019,433.8,434.34,431.09,433.1
12/17/2019,431.09,434.3,430.29,433.8
12/16/2019,428.05,431.95,427.15,431.09
12/13/2019,423.64,430.98,423.64,428.05
12/12/2019,420.11,425.64,420.11,423.64
12/11/2019,423.03,423.03,417.92,420.27
12/10/2019,421.45,424.05,419.68,423.2
12/09/2019,422.51,422.61,418.93,421.64
12/06/2019,419.45,425.37,417.3,422.73
12/05/2019,418.74,422.28,417.84,419.65
12/04/2019,410.74,419.82,410.74,418.74
12/03/2019,410.79,413.26,408.63,410.74
12/02/2019,409.19,415.28,409.19,410.79
11/29/2019,420.33,420.47,408.67,409.19
11/27/2019,422.06,423.65,418.58,420.33
11/26/2019,420.02,422.21,418.92,422.06
11/25/2019,418.93,420.49,416.5,420.02
11/22/2019,420.82,422.48,417.81,418.93
11/21/2019,415.37,421.07,413.18,420.82
11/20/2019,409.67,417.01,407.5,415.37
11/19/2019,415.64,416.07,409.08,409.67
11/18/2019,420.49,421.48,414.1,415.64
11/15/2019,417.15,421.78,414.86,420.49
11/14/2019,418.02,421.35,416.73,417.15
11/13/2019,417.82,419.43,414.49,418.02
11/12/2019,416.97,419.45,415.9,417.31
11/11/2019,419.52,419.52,414.82,416.52
11/08/2019,419.09,420,412.38,419.11
11/07/2019,417.29,421.1,416.52,418.69
11/06/2019,421.92,423.46,416.24,416.93
11/05/2019,419.19,422.66,418.41,421.92
11/04/2019,416.88,422.16,416.06,419.19
11/01/2019,407.51,417.19,407,416.88
10/31/2019,411.72,413.65,404.97,407.51
10/30/2019,413.97,414.91,410.22,411.72
10/29/2019,414.03,415.48,410.24,413.97
10/28/2019,416.22,417.58,412.86,414.03
10/25/2019,414.48,416.47,411.72,416.22
10/24/2019,412.74,415.45,411.05,414.48
10/23/2019,406.43,413.17,403.38,412.74
10/22/2019,404.01,409.1,403.3,406.89
10/21/2019,406.69,407.61,402.18,404.01
10/18/2019,407.08,409.35,404.82,406.69
10/17/2019,405.32,407.43,402.96,407.08
10/16/2019,403.37,406.37,401.64,405.32
10/15/2019,405.25,406.82,400.94,403.37
10/14/2019,409.42,410.53,402.45,405.25
10/11/2019,402.04,409.81,401.94,409.42
10/10/2019,400.05,403.38,397.85,402.15
10/09/2019,399.36,404.38,398.25,400.18
10/08/2019,399.06,400.58,394.66,399.49
10/07/2019,399.27,403.72,398.43,399.21
10/04/2019,397.35,401.62,397.14,399.46
10/03/2019,397.18,398.4,390.84,397.35
10/02/2019,402.31,404.75,395.33,397.18
10/01/2019,403.61,406.22,400.27,402.31
09/30/2019,409.6,410.47,403.3,403.61
09/27/2019,411.39,412.59,404.74,409.6
09/26/2019,411.71,413.74,407.01,411.39
09/25/2019,414.8,414.8,407.44,411.71
09/24/2019,420.37,420.37,413.36,414.8
09/23/2019,417.41,420.43,414.41,420.37
09/20/2019,418.51,422.21,416.87,417.41
09/19/2019,417.01,423.06,416.05,418.51
09/18/2019,420.65,421.84,414.98,417.01
09/17/2019,436.07,436.07,417.67,420.65
09/16/2019,403.94,437.34,403.94,436.07
09/13/2019,403.52,405.97,400.9,403.82
09/12/2019,404.23,406.57,396.98,403.43
09/11/2019,410.34,413.35,403.5,404.19
09/10/2019,409.57,413.8,409.14,410.38
09/09/2019,404.41,411.1,404.41,409.68
09/06/2019,404.26,405.89,397.7,404.46
09/05/2019,403.71,409.51,402.18,404.26
09/04/2019,392.44,404.74,392.2,403.71
09/03/2019,397.05,397.13,388.48,392.44
08/30/2019,403.6,403.79,395.09,397.05
08/29/2019,400.37,404.16,399.1,403.6
08/28/2019,396.03,402.48,396.03,400.37
08/27/2019,392.51,396.41,392.15,396.03
08/26/2019,393.35,398.06,390.02,392.51
08/23/2019,397.97,399.04,389.83,393.35
08/22/2019,400.02,402.31,396.52,397.97
08/21/2019,399.85,404.59,399.67,400.02
08/20/2019,399.33,401.33,396.44,399.85
08/19/2019,395.88,399.62,395.05,399.33
08/16/2019,394.51,398.87,394.04,395.88
08/15/2019,398.06,398.88,392.32,394.51
08/14/2019,405.55,405.55,394.14,398.06
08/13/2019,397.04,407.2,394.28,405.54
08/12/2019,399.48,400.44,396.1,397.15
08/09/2019,394.01,401.67,393.1,399.73
08/08/2019,387.26,395.47,387.26,394.24
08/07/2019,397.31,398.2,385.81,387.46
08/06/2019,401.89,404.77,397.05,397.52
08/05/2019,407.66,407.66,400.14,401.89
08/02/2019,403.16,410.41,403.16,407.66
08/01/2019,422.43,422.43,401.75,403.16
07/31/2019,421.64,424.67,420.24,422.43
07/30/2019,418.51,422.56,418.14,421.64
07/29/2019,416.68,419.05,415.29,418.51
07/26/2019,417.45,418.76,415.21,416.68
07/25/2019,417.71,421.32,417.08,417.45
07/24/2019,419.74,424.1,415.78,417.71
07/23/2019,416.86,420.38,415.24,419.74
07/22/2019,415.91,420.99,415.91,416.86
07/19/2019,412.59,418.36,412.59,415.91
07/18/2019,419.88,422.16,410.56,412.59
07/17/2019,423.01,426.02,419.16,419.88
07/16/2019,430.92,432.23,421.26,423.01
07/15/2019,434.63,436.27,430.32,430.92
07/12/2019,433.36,435.75,432.94,434.63
07/11/2019,433.85,436.77,432.72,433.6
07/10/2019,421.91,434.34,421.91,434.12
07/09/2019,421.3,422.62,418.68,422.34
07/08/2019,422.06,425.44,420.6,421.54
07/05/2019,421,422.93,417.09,422.34
07/03/2019,414.5,421.27,413.46,421
07/02/2019,425.44,427.29,413.99,414.5
07/01/2019,425.35,432.69,422.5,425.44
06/28/2019,430.54,432.01,423.39,425.35
06/27/2019,430.86,431.5,427.76,430.54
06/26/2019,424.63,432.77,424.63,430.86
06/25/2019,422.8,426.44,420.92,424.63
06/24/2019,421.27,424.64,419.46,422.8
06/21/2019,420.16,424.77,418.55,421.15
06/20/2019,408.49,422.08,408.49,420.16
06/19/2019,410.4,411.89,407.36,408.49
06/18/2019,404.56,413,401.37,410.4
06/17/2019,406.96,408.83,403.63,404.56
06/14/2019,405.01,408.67,403.08,406.96
06/13/2019,399.85,409.02,399.12,405.01
06/12/2019,407.41,407.41,398.38,399.78
06/11/2019,405.7,408.5,405.18,407.34
06/10/2019,407.16,409.99,404.81,405.66
06/07/2019,402.88,408.85,402.54,407.16
06/06/2019,398.56,404.89,397.19,402.92
06/05/2019,406.95,406.95,394.89,398.56
06/04/2019,405.25,407.79,401.82,406.95
06/03/2019,407.76,411.45,403,405.25
05/31/2019,421.88,421.99,407.01,407.76
05/30/2019,429.5,431.24,420.9,421.88
05/29/2019,432,432.95,424.13,429.5
05/28/2019,427.12,433.6,427.12,432
05/24/2019,422.69,427.79,422.4,427.12
05/23/2019,436.07,436.14,420.99,422.69
05/22/2019,443.12,443.12,434.71,436.07
05/21/2019,443.48,445.92,441.81,443.12
05/20/2019,443,447.71,442.23,443.48
05/17/2019,445.14,447.32,441.42,443
05/16/2019,439.62,446.86,439.62,445.14
05/15/2019,436.89,441.73,434.64,439.62
05/14/2019,431.49,438.21,430.7,436.89
05/13/2019,434.04,439.91,430.03,431.46
05/10/2019,433.69,437.57,433.21,434.33
05/09/2019,436.55,436.7,430.49,433.99
05/08/2019,434.95,438.2,433.25,436.77
05/07/2019,439.44,440.15,432.24,435.14
05/06/2019,440.83,441.32,432.06,439.65
05/03/2019,440.22,443.17,438.32,440.83
05/02/2019,446.38,446.66,436.65,440.22
05/01/2019,446.45,447.01,442.62,446.38
04/30/2019,444.81,450.14,443.55,446.45
04/29/2019,445.33,446.42,441.74,444.81
04/26/2019,452.82,452.82,442.04,445.33
04/25/2019,455.08,457.14,451.74,452.82
04/24/2019,457.18,457.29,454.44,455.08
04/23/2019,456.24,458.27,455.82,457.18
04/22/2019,450.84,458.66,450.84,456.24
04/18/2019,449.86,450.97,447.76,450.84
04/17/2019,450.97,453.58,449.65,449.86
04/16/2019,450.07,451.27,447.61,450.97
04/15/2019,452.46,452.46,449.02,450.07
04/12/2019,449.85,454.06,449.85,452.46
04/11/2019,454.02,454.02,448.95,449.85
04/10/2019,449.84,453.93,449.84,453.84
04/09/2019,451.57,453.12,448.49,449.67
04/08/2019,447.47,451.68,447.47,451.44
04/05/2019,444.16,447.74,442.18,447.27
04/04/2019,443.5,446.13,441.99,443.92
04/03/2019,442.68,445.17,441.47,443.5
04/02/2019,439.69,443.17,438.82,442.68
