Time,Open,High,Low,Last,Change,Volume,"Open Int"
03/11/2014,158.5,158.5,158.5,158.5,2,0,0
03/10/2014,156,156.5,155.4,156.5,1.5,6,1162
03/07/2014,156,158,155,155,-1.3,17,1162
03/06/2014,155.5,156.3,155.5,156.3,0.80000000000001,2,1169
03/05/2014,155.2,155.5,155,155.5,1,3,1171
03/04/2014,147.5,154.5,147.5,154.5,5.05,1,1204
03/03/2014,146.25,150,146.25,149.45,1.7,24,1205
02/28/2014,148.2,148.9,146.6,147.75,-0.40000000000001,292,1215
02/27/2014,146.6,148.55,146,148.15,2,652,1392
02/26/2014,146,146.15,145,146.15,0,614,1905
02/25/2014,146,146.3,144,146.15,-0.19999999999999,631,2546
02/24/2014,147.55,148,145.75,146.35,-0.20000000000002,556,3193
02/21/2014,147,147.25,145.9,146.55,-0.64999999999998,1048,3536
02/20/2014,142.95,147.9,141.5,147.2,3.8,2360,4674
02/19/2014,143.25,143.9,141.75,143.4,-0.25,1958,5320
02/18/2014,144.05,145,142.05,143.65,-0.69999999999999,1155,6818
02/14/2014,146.8,147.15,143,144.35,-2.1,1000,7535
02/13/2014,146.25,147.55,145.95,146.45,0.19999999999999,738,8047
02/12/2014,145.45,146.9,144.8,146.25,0.80000000000001,542,8395
02/11/2014,145.75,146.65,142.75,145.45,-1.55,1149,8539
02/10/2014,147,148.85,144.2,147,-0.25,1508,9193
02/07/2014,145.5,148,144.05,147.25,1.8,1063,9629
02/06/2014,145.5,146.3,145,145.45,-0.35000000000002,671,9697
02/05/2014,143.65,147,143.25,145.8,2.35,1053,10038
02/04/2014,143,144.25,138.8,143.45,1.1,1633,10111
02/03/2014,142.2,146,141.7,142.35,-0.20000000000002,1277,10604
01/31/2014,139.7,144.5,139.7,142.55,2.85,824,11102
01/30/2014,138,140.65,137.3,139.7,1.7,940,11499
01/29/2014,138.5,138.7,137.25,138,-0.69999999999999,1054,12158
01/28/2014,139.2,140.35,138.55,138.7,-0.5,806,12406
01/27/2014,143.25,143.25,138.75,139.2,-3.8,1310,12533
01/24/2014,144.25,145.5,140,143,-1.45,955,12756
01/23/2014,144.2,145.05,143.4,144.45,0.25,461,12781
01/22/2014,143.55,144.6,142.75,144.2,0.79999999999998,529,12730
01/21/2014,141.85,144.65,141.35,143.4,1.55,814,12667
01/17/2014,141.8,142.3,139.55,141.85,0.44999999999999,853,12712
01/16/2014,144.8,145.15,136.6,141.4,-3.75,1753,12439
01/15/2014,145.35,146.85,143.65,145.15,-0.19999999999999,612,12630
01/14/2014,147.35,147.6,143.6,145.35,-3.05,857,12400
01/13/2014,148.6,150,146,148.4,0.30000000000001,1792,12097
01/10/2014,142.9,152.4,142.4,148.1,5.7,2632,11632
01/09/2014,142.3,143.4,141.65,142.4,0.099999999999994,487,10959
01/08/2014,143.4,143.45,141.6,142.3,-1.05,599,10978
01/07/2014,143.5,143.9,141.05,143.35,-0.25,1187,10973
01/06/2014,141.75,144.3,140.5,143.6,3.85,1144,10838
01/03/2014,137.95,141.95,137,139.75,1.8,648,10718
01/02/2014,138.9,139.2,136.8,137.95,-1.25,588,10666
12/31/2013,140,141,138.4,139.2,-1.8,406,10723
12/30/2013,137.75,141.35,137.25,141,2.75,602,10787
12/27/2013,142.15,142.15,137.75,138.25,-3.9,733,10656
12/26/2013,138.95,142.4,138.5,142.15,3.15,453,10484
12/24/2013,135.65,139.45,135.55,139,2.5,842,10534
12/23/2013,138.4,139.7,135.95,136.5,-2.45,1043,10018
12/20/2013,143.25,143.25,138.8,138.95,-4.45,1093,9841
12/19/2013,143.8,143.8,142.85,143.4,-0.40000000000001,972,9992
12/18/2013,143.85,144.3,142.15,143.8,-0.049999999999983,850,9262
12/17/2013,142.95,144,141.25,143.85,0.90000000000001,948,8799
12/16/2013,144.4,144.9,142.2,142.95,-2.1,1478,8357
12/13/2013,146.7,147.15,142.15,145.05,-2.1,1318,7398
12/12/2013,145.05,147.3,143.8,147.15,2.1,1130,6668
12/11/2013,144.3,145.5,143,145.05,2.05,847,6191
12/10/2013,141.5,144,140.95,143,1.55,793,5977
12/09/2013,139.15,145.2,139.1,141.45,2.35,1261,5751
12/06/2013,138.6,139.45,138.05,139.1,0.19999999999999,382,5304
12/05/2013,136.7,139.15,136.7,138.9,2.25,276,5109
12/04/2013,138.05,138.05,135.1,136.65,-1.15,361,4925
12/03/2013,139.65,139.95,137.6,137.8,-2.8,635,4797
12/02/2013,140.8,141.3,138.3,140.6,-0.45000000000002,669,4050
11/29/2013,140.05,141.65,139.75,141.05,0.55000000000001,140,3388
11/27/2013,140.45,140.75,139.55,140.5,0.19999999999999,270,2999
11/26/2013,138.8,140.3,138.8,140.3,0.20000000000002,120,2811
11/25/2013,137.5,140.4,137.5,140.1,0.65000000000001,116,2747
11/22/2013,139.4,140.3,139.25,139.45,0.5,77,2580
11/21/2013,137,139,137,138.95,0.79999999999998,92,2605
11/20/2013,136.45,138.75,136.45,138.15,1.35,74,2601
11/19/2013,138.5,138.75,136.45,136.8,-1.6,195,2599
11/18/2013,139.35,139.5,137.6,138.4,-0.29999999999998,186,2549
11/15/2013,137,138.7,136.4,138.7,1.75,113,2612
11/14/2013,133.85,137.45,133.85,136.95,2.2,102,2643
11/13/2013,135.5,135.75,132.8,134.75,-1.5,179,2663
11/12/2013,134.35,137.05,133.45,136.25,2.1,221,2717
11/11/2013,133.5,134.3,132,134.15,2.3,130,2747
11/08/2013,126.35,132.05,126.25,131.85,5.75,495,2731
11/07/2013,124.8,126.4,123.85,126.1,0.34999999999999,60,2667
11/06/2013,126.4,126.55,125.6,125.75,0.8,77,2694
11/05/2013,123.9,125.15,122.7,124.95,2.75,105,2706
11/04/2013,126.1,126.1,122.2,122.2,-3.45,136,2730
11/01/2013,125.7,126.65,125.4,125.65,1.4,276,2683
10/31/2013,125.55,125.55,123.95,124.25,3.2,90,2571
10/30/2013,120.6,121.05,120.45,121.05,1.1,41,2541
10/29/2013,120.75,120.75,119.1,119.95,-1.5,74,2560
10/28/2013,123,124.25,120,121.45,-1.95,170,2550
10/25/2013,123.5,123.75,123.05,123.4,-0.14999999999999,105,2519
10/24/2013,123.15,124.3,123.05,123.55,0.39999999999999,143,2499
10/23/2013,120.05,124.4,120.05,123.15,3.1,92,2436
