Time,Open,High,Low,Last,Change,Volume,"Open Int"
03/11/2015,118.3,118.3,118.3,118.3,-0.8,0,0
03/10/2015,119.8,121,119.1,119.1,-1.2,10,84
03/09/2015,117.35,120.3,116.9,120.3,4.3,5,93
03/06/2015,119.45,119.8,116,116,-3.2,5,97
03/05/2015,119.2,119.2,119.2,119.2,1.15,0,100
03/04/2015,117.5,118.05,112.25,118.05,1.6,6,100
03/03/2015,122,124.1,115.3,116.45,-8.7,85,103
03/02/2015,122.9,126.4,121.25,125.15,3.6,299,149
02/27/2015,122,124.05,121,121.55,0.14999999999999,404,429
02/26/2015,123.4,124.35,121.1,121.4,-1.8,472,744
02/25/2015,123.4,125.6,122.7,123.2,-0.7,655,1167
02/24/2015,127,127,122.2,123.9,-2.7,1231,1594
02/23/2015,130.9,132,126.55,126.6,-5.05,1193,2641
02/20/2015,133.8,133.8,130.85,131.65,-1.1,1152,3970
02/19/2015,134.35,134.9,132,132.75,-1.6,575,3849
02/18/2015,137.45,137.45,134,134.35,-3.35,958,4093
02/17/2015,138,138.95,135.15,137.7,0.049999999999983,937,4700
02/13/2015,135.7,138.75,135.7,137.65,2.05,488,5199
02/12/2015,134.65,136,134.65,135.6,0.40000000000001,780,5380
02/11/2015,136.75,137.95,134,135.2,-0.65000000000001,923,5869
02/10/2015,140.4,141.45,135.6,135.85,-4.85,966,6374
02/09/2015,136.4,140.75,136,140.7,4.4,1181,6735
02/06/2015,138,138,135.15,136.3,-1.25,628,6766
02/05/2015,137.5,138.35,136.65,137.55,-0.34999999999999,780,7020
02/04/2015,139.85,140.4,137.5,137.9,-1.95,747,7230
02/03/2015,139.85,140.25,138.45,139.85,0.25,712,7621
02/02/2015,139.5,142.6,139,139.6,-0.40000000000001,1140,7910
01/30/2015,135.9,141.2,135.1,140,5.55,1072,8204
01/29/2015,135,136.05,133.05,134.45,-1,1403,8619
01/28/2015,140.6,141.55,135.05,135.45,-6,1916,8898
01/27/2015,144.05,144.35,140.25,141.45,-2.9,1273,8971
01/26/2015,147,147.4,144.15,144.35,-2.9,734,9127
01/23/2015,146.9,147.45,143.8,147.25,0.30000000000001,701,9201
01/22/2015,146.75,147.45,145.8,146.95,0.19999999999999,394,9183
01/21/2015,145.95,148,145.2,146.75,0.25,686,9078
01/20/2015,146.5,147.1,145,146.5,0,452,8849
01/16/2015,147,147.25,145.55,146.5,-0.15000000000001,594,8740
01/15/2015,143.75,146.95,143.4,146.65,2.8,754,8715
01/14/2015,143.45,144.6,142.5,143.85,0.40000000000001,527,8773
01/13/2015,142.9,143.7,141.6,143.45,0.14999999999998,822,8790
01/12/2015,142.4,144.45,139.85,143.3,0.90000000000001,1084,8712
01/09/2015,141.45,142.75,141.05,142.4,1.25,510,8653
01/08/2015,142.6,145.75,141,141.15,-1.45,621,8756
01/07/2015,142.1,143.7,141.2,142.6,0.34999999999999,665,8810
01/06/2015,146.95,147,141.55,142.25,-4.2,1286,8857
01/05/2015,143.95,146.9,143.95,146.45,2.55,1027,8833
01/02/2015,139.75,144.45,139.65,143.9,4.1,788,8839
12/31/2014,140.2,141.05,139.55,139.8,-0.14999999999998,434,8945
12/30/2014,140.15,141.05,139.2,139.95,-0.40000000000001,430,8895
12/29/2014,141.15,141.5,139.65,140.35,-0.40000000000001,673,8944
12/26/2014,143,143,140,140.75,-2,288,8732
12/24/2014,139.15,143,139.1,142.75,3.6,252,8787
12/23/2014,140.15,140.9,139.1,139.15,-1.2,819,8756
12/22/2014,143.75,143.75,140.15,140.35,-1.75,1483,8826
12/19/2014,143.7,147.1,141.75,142.1,-2.6,1019,8452
12/18/2014,147.55,148,142.6,144.7,-3.25,1103,8124
12/17/2014,147.5,148.95,147.15,147.95,0.94999999999999,701,7842
12/16/2014,147,148,145.75,147,-0.34999999999999,852,7378
12/15/2014,149.55,150.95,146.9,147.35,-2.1,817,6997
12/12/2014,149.5,150.2,148.6,149.45,-0.10000000000002,520,6661
12/11/2014,148,150.85,148,149.55,1.25,752,6450
12/10/2014,149,155,147.3,148.3,-0.29999999999998,1358,5888
12/09/2014,148.5,149.4,148.4,148.6,0.19999999999999,338,4982
12/08/2014,148.45,150.25,146.95,148.4,0.30000000000001,562,4688
12/05/2014,147.4,148.75,146.7,148.1,-0.30000000000001,468,4465
12/04/2014,149.85,149.85,146.55,148.4,-1.5,377,4261
12/03/2014,147.4,150,147.3,149.9,2.2,363,4072
12/02/2014,147.55,148.25,146.2,147.7,-0.45000000000002,594,3880
12/01/2014,149.95,149.95,147.3,148.15,-2,558,3483
11/28/2014,149.3,150.45,149.25,150.15,0.30000000000001,338,2979
11/26/2014,149.15,150,147.7,149.85,0.40000000000001,174,2774
11/25/2014,148.75,149.45,148,149.45,0.5,226,2726
11/24/2014,145.35,148.95,145.1,148.95,3.6,222,2691
11/21/2014,142.25,145.5,141.85,145.35,1.6,243,2650
11/20/2014,139,144.5,139,143.75,4.4,171,2495
11/19/2014,137.9,140.15,137.8,139.35,1.6,235,2398
11/18/2014,133.9,138,133.9,137.75,2.85,98,2337
11/17/2014,132.25,135.5,132,134.9,2.9,129,2329
11/14/2014,130.35,134.2,129.5,132,2.25,137,2285
11/13/2014,129.45,130.5,129.2,129.75,1.7,161,2221
11/12/2014,130.4,131.45,127.3,128.05,-2.2,75,2219
11/11/2014,125.8,131,125.55,130.25,3.8,245,2190
11/10/2014,129.4,132,126.05,126.45,-3.1,150,2113
11/07/2014,131.85,131.85,129.35,129.55,-3.35,83,2089
11/06/2014,133.5,134,131.4,132.9,-1.55,238,2039
11/05/2014,137,138.45,133.5,134.45,-1.3,163,1949
11/04/2014,136.5,136.5,135,135.75,-0.69999999999999,86,1925
11/03/2014,137.55,138.9,135.5,136.45,-3.35,150,1924
10/31/2014,139.7,140.4,137.65,139.8,-0.34999999999999,37,1876
10/30/2014,140.2,140.6,139.45,140.15,0.15000000000001,88,1857
10/29/2014,140.1,140.15,139.9,140,0.5,49,1789
10/28/2014,139.15,139.5,139.05,139.5,0,46,1786
10/27/2014,142,142,138.65,139.5,-2.7,156,1750
10/24/2014,143.25,143.8,142,142.2,-0.20000000000002,12,1648
10/23/2014,141.85,143.9,141.85,142.4,0.34999999999999,128,1643
10/22/2014,141.2,142.15,140.85,142.05,1.65,76,1570
10/21/2014,139.45,140.4,139.45,140.4,1.25,23,1537
10/20/2014,139.5,139.65,139,139.15,-0.44999999999999,109,1530
10/17/2014,139.9,140.05,139.5,139.6,-0.099999999999994,32,1483
10/16/2014,139.9,140.3,139.6,139.7,-2.25,53,1452
10/15/2014,139.85,141.95,139.5,141.95,2.7,33,1410
10/14/2014,139,139.6,139,139.25,0.84999999999999,22,1389
10/13/2014,143.1,143.1,138,138.4,-4.6,201,1378
10/10/2014,145,145,140.8,143,-2.55,178,1195
10/09/2014,145.55,145.55,145.55,145.55,-0.39999999999998,0,1052
10/08/2014,145.75,145.95,145.75,145.95,-0.20000000000002,4,1052
10/07/2014,145.55,146.15,145.55,146.15,0.55000000000001,6,1051
10/06/2014,144.25,145.6,144.25,145.6,1.6,2,1051
10/03/2014,145.75,145.75,144,144,-2.25,22,1050
10/02/2014,146.05,146.25,145.8,146.25,-1.25,3,1029
10/01/2014,147.5,147.5,147.5,147.5,0.19999999999999,0,1030
09/30/2014,147.3,147.3,147.3,147.3,1.2,11,1030
09/29/2014,146.25,146.25,146.1,146.1,0.5,9,1028
09/26/2014,142.75,146.25,142.75,145.6,3.2,12,1023
09/25/2014,144.9,144.9,142.4,142.4,-2.2,32,1029
09/24/2014,145.1,145.1,144.6,144.6,-0.30000000000001,12,1039
09/23/2014,146.45,146.45,144.9,144.9,-1.75,17,1027
09/22/2014,146.65,146.65,146.65,146.65,0.70000000000002,2,1031
09/19/2014,146.4,146.4,145.5,145.95,-0.5,54,1033
09/18/2014,146.15,146.9,145.5,146.45,0.69999999999999,10,983
09/17/2014,146,146,143.75,145.75,-0.69999999999999,43,980
09/16/2014,148,148,146.35,146.45,-2,65,937
09/15/2014,149,149.3,148.35,148.45,-1.85,57,873
09/12/2014,150,151,150,150.3,-0.5,32,821
09/11/2014,150,151,149.7,150.8,-1.5,60,791
09/10/2014,151.9,152.55,151.9,152.3,1.05,8,738
09/09/2014,151.25,153,151.25,151.25,-0.84999999999999,6,740
09/08/2014,150,152.35,150,152.1,-0.45000000000002,19,743
09/05/2014,151.7,152.75,151.7,152.55,0.30000000000001,49,727
09/04/2014,152.6,152.6,152.25,152.25,-0.69999999999999,32,687
09/03/2014,152.3,152.95,152.3,152.95,0.19999999999999,56,656
09/02/2014,152.35,152.75,152.35,152.75,-0.050000000000011,35,606
08/29/2014,152.35,152.8,152.3,152.8,0.75,7,584
08/28/2014,154.5,154.5,151,152.05,-1.2,26,585
08/27/2014,153.25,153.25,153.25,153.25,-1.45,5,592
08/26/2014,148.6,154.95,148.6,154.7,6.35,7,593
08/25/2014,151.45,151.45,148.35,148.35,-3.7,15,591
08/22/2014,152,152.05,151.05,152.05,-0.59999999999999,30,581
08/21/2014,152,152.65,152,152.65,-0.69999999999999,33,576
08/20/2014,152.95,153.8,152.95,153.35,-0.84999999999999,32,578
08/19/2014,154.2,154.2,154.2,154.2,-0.95000000000002,0,552
08/18/2014,154.65,155.15,154.65,155.15,-1.1,11,552
08/15/2014,158.5,158.5,156.25,156.25,0.94999999999999,1,541
08/14/2014,153,155.95,153,155.3,3.55,37,541
08/13/2014,152.4,152.4,151.75,151.75,-0.65000000000001,1,530
08/12/2014,152.5,152.95,152.3,152.4,-0.049999999999983,42,530
08/11/2014,152.55,152.55,152.45,152.45,2.25,6,500
08/08/2014,148.5,150.3,148.2,150.2,0.34999999999999,28,495
08/07/2014,150.15,150.3,149.85,149.85,-1.55,77,478
08/06/2014,151.4,151.4,151.4,151.4,0.65000000000001,0,413
08/05/2014,150.5,150.75,150.5,150.75,-0.40000000000001,5,413
08/04/2014,150.2,151.15,150.2,151.15,1.85,1,413
08/01/2014,149.3,149.3,149.3,149.3,-1.7,0,413
07/31/2014,149.1,151,148,151,0.90000000000001,49,398
07/30/2014,151,151,149.7,150.1,-2.7,8,373
07/29/2014,152.2,153.05,151,152.8,-1.55,11,376
07/28/2014,154.35,154.35,154.35,154.35,0.65000000000001,1,374
07/25/2014,154.95,154.95,153.7,153.7,-1.6,10,374
07/24/2014,157.6,157.6,154.65,155.3,-2.7,18,364
07/23/2014,158.5,158.5,157.8,158,-0.90000000000001,22,353
07/22/2014,158.95,159.15,158.9,158.9,0.050000000000011,26,331
07/21/2014,158.85,158.85,158.85,158.85,0.59999999999999,0,306
07/18/2014,158.25,158.25,158.25,158.25,0.65000000000001,0,306
07/17/2014,157.6,157.6,157.6,157.6,0.099999999999994,0,306
07/16/2014,157.5,157.5,157.5,157.5,0.15000000000001,0,306
07/15/2014,157.6,157.9,157.25,157.35,1.5,126,306
07/14/2014,155.5,155.85,155.5,155.85,0.59999999999999,9,301
07/11/2014,155.25,155.25,155.25,155.25,-0.25,0,301
07/10/2014,155.5,155.5,155.5,155.5,-1.35,0,301
