Time,Open,High,Low,Last,Change,Volume,"Open Int"
05/10/2013,148.2,148.2,148.2,148.2,0.39999999999998,0,0
05/09/2013,148.2,148.2,147.8,147.8,0.45000000000002,2,607
05/08/2013,147.35,147.35,147.35,147.35,5.75,1,607
05/07/2013,144.05,144.05,141,141.6,-1.85,13,607
05/06/2013,148.9,148.9,143.15,143.45,-3.5,12,608
05/03/2013,146.85,146.95,146.75,146.95,1.9,11,614
05/02/2013,145,145.25,143,145.05,3.3,51,626
05/01/2013,138,141.75,138,141.75,0.34999999999999,40,747
04/30/2013,143,147.1,141.4,141.4,-1.8,571,787
04/29/2013,142,145,141.4,143.2,2.85,341,1186
04/26/2013,143.65,144.35,139.1,140.35,-4.2,1101,1278
04/25/2013,144.9,145.3,143.1,144.55,0.20000000000002,711,2222
04/24/2013,140.95,146.2,140.95,144.35,2.6,689,2703
04/23/2013,143.25,143.35,140.55,141.75,-1.5,1684,3060
04/22/2013,147.2,147.25,142.75,143.25,-3.95,2195,4299
04/19/2013,146.9,148.4,146.35,147.2,1.1,1208,5920
04/18/2013,148.45,149.4,143.2,146.1,-2.35,2391,8156
04/17/2013,148.55,150.65,145.65,148.45,0.29999999999998,1410,9337
04/16/2013,148.95,149.3,146.2,148.15,-0.94999999999999,1289,10390
04/15/2013,144,154,144,149.1,5.1,1944,10776
04/12/2013,141.95,144.5,140.35,144,1.05,1503,11338
04/11/2013,145.8,145.95,141.55,142.95,-3.45,2120,11795
04/10/2013,145.9,152.65,144,146.4,-1.25,2358,12243
04/09/2013,145.55,148.2,145,147.65,2.2,1474,12229
04/08/2013,147.75,148.15,145,145.45,-2.3,2167,12171
04/05/2013,141.5,148.4,140.15,147.75,6.95,2976,11785
04/04/2013,139.05,141.95,137.15,140.8,1.35,1823,11459
04/03/2013,139.85,139.85,135.55,139.45,-0.10000000000002,1658,11671
04/02/2013,134.6,142,134,139.55,5.6,1992,12067
04/01/2013,136,137.85,131.15,133.95,-1.2,2517,12925
03/28/2013,137.25,138.2,133.85,135.15,-1.85,1897,13742
03/27/2013,138.95,139.2,136.55,137,-1.95,953,15166
03/26/2013,139.5,140,138.6,138.95,-0.45000000000002,868,15344
03/25/2013,139.3,140,138.15,139.4,1.25,913,15344
03/22/2013,135.75,139.95,135.75,138.15,0.59999999999999,856,15174
03/21/2013,134.05,138.7,134.05,137.55,2.4,1281,15020
03/20/2013,139.5,140.15,133.05,135.15,-4.5,1788,14927
03/19/2013,138.95,139.9,137.95,139.65,0.59999999999999,746,14773
03/18/2013,137.3,139.3,134.85,139.05,-0.14999999999998,1171,14507
03/15/2013,137.8,139.7,135.75,139.2,2.25,1200,14507
03/14/2013,135.55,138.1,133.85,136.95,-0.45000000000002,1203,14560
03/13/2013,138.1,140.3,135.7,137.4,-0.099999999999994,1426,14542
03/12/2013,135.55,138.75,135.1,137.5,1.25,1332,14383
03/11/2013,133.4,137.5,132,136.25,3.1,1627,14188
03/08/2013,124.7,134.55,124.05,133.15,8.6,3418,14107
03/07/2013,122.85,124.8,122,124.55,1.8,1392,13893
03/06/2013,124.05,124.1,122,122.75,-0.75,1146,14046
03/05/2013,123.9,124.3,121.9,123.5,-0.45,1632,14239
03/04/2013,120.9,126,120.6,123.95,3,1729,14780
03/01/2013,127,127.45,120,120.95,-6.85,2559,15027
02/28/2013,125.7,128.4,124.9,127.8,2.15,1429,15736
02/27/2013,127.7,128.7,125.45,125.65,-1.6,1274,15387
02/26/2013,130.2,130.55,125.75,127.25,-2.5,2156,15169
02/25/2013,130.2,131.25,129.6,129.75,0.5,1402,14599
02/22/2013,128.9,131.7,128.2,129.25,0.34999999999999,1121,14170
02/21/2013,125.4,129.45,125.25,128.9,2.45,1061,13941
02/20/2013,124.9,126.65,124,126.45,1.55,1413,13656
02/19/2013,129.85,130.1,124.3,124.9,-4.9,1358,12981
02/15/2013,131.1,132,126.15,129.8,-1.2,3091,12570
02/14/2013,129.75,131.1,129.1,131,1.25,1556,10786
02/13/2013,128,130,127.2,129.75,1.65,1640,10174
02/12/2013,121,128.5,120.8,128.1,6.65,2626,9903
02/11/2013,120.95,122.3,120.5,121.45,0.85000000000001,713,8656
02/08/2013,121.25,125.25,119.95,120.6,-0.80000000000001,1013,8255
02/07/2013,120.25,123.25,120.25,121.4,0.45,647,7968
02/06/2013,123.45,124.6,120.35,120.95,-1.85,753,8016
02/05/2013,121.2,124.1,121.2,122.8,1.7,478,7628
02/04/2013,123.25,124.75,120.5,121.1,-1.7,570,7384
02/01/2013,120.9,123,120.9,122.8,2.6,871,7079
01/31/2013,120.5,123.1,119.45,120.2,-0.099999999999994,953,6071
01/30/2013,115.75,120.6,115.75,120.3,5,593,5448
01/29/2013,115,116.15,114.9,115.3,0.14999999999999,153,4809
01/28/2013,115.5,116.5,114.4,115.15,0.65000000000001,155,4729
01/25/2013,114.5,115.4,113.95,114.5,0.2,249,4630
01/24/2013,116.55,117.4,114.3,114.3,-2.2,252,4518
01/23/2013,116.5,117.3,115.95,116.5,0.2,126,4127
01/22/2013,115.3,117.8,115.1,116.3,1.2,430,4111
01/18/2013,113.75,116.7,113.75,115.1,2.1,195,3997
01/17/2013,113.5,114.1,112.6,113,0.049999999999997,183,3945
01/16/2013,110.95,114.5,110.95,112.95,1.95,151,3808
01/15/2013,112.9,112.9,110.7,111,-1.15,268,3765
01/14/2013,114.3,115.75,111.9,112.15,-1.65,259,3755
01/11/2013,114,115.4,112.95,113.8,0.39999999999999,257,4512
01/10/2013,113,114.6,112.1,113.4,1.45,345,3724
01/09/2013,111.05,112.75,110.5,111.95,1.3,356,3799
01/08/2013,112.4,113.65,110.6,110.65,-1.4,286,3830
01/07/2013,114.25,115.9,112,112.05,-2.5,256,3751
01/04/2013,114.05,116.5,112.5,114.55,1.1,215,3740
01/03/2013,117.45,117.85,113.25,113.45,-4.4,536,3719
01/02/2013,118.8,118.8,115.9,117.85,-1.35,271,3561
12/31/2012,124.6,124.6,118.65,119.2,-8.95,332,3552
12/28/2012,131.5,132.15,126.95,128.15,-4.85,270,3533
12/27/2012,134.1,135.25,132.15,133,0.050000000000011,93,3449
12/26/2012,134.3,135.5,132.95,132.95,-1.45,60,3499
12/24/2012,134,135,134,134.4,-0.54999999999998,52,3463
12/21/2012,137,139.7,134,134.95,-3.7,88,3435
12/20/2012,141.25,141.3,138.3,138.65,-3.75,76,3444
12/19/2012,140.25,144.15,140.25,142.4,2.05,274,3477
12/18/2012,138,141.5,138,140.35,1.25,171,3546
12/17/2012,135.8,139.1,135.8,139.1,0.5,38,3543
12/14/2012,138.9,139.5,137.1,138.6,0.59999999999999,32,3523
12/13/2012,135.8,141.15,135.8,138,3.65,106,3511
12/12/2012,132.4,137.75,132.4,134.35,3.25,535,3513
12/11/2012,127.5,135.15,127.5,131.1,3.65,114,3402
12/10/2012,128.25,128.95,127.25,127.45,0.45,47,3408
12/07/2012,128.4,129.05,127,127,-0.90000000000001,957,3385
12/06/2012,127.85,127.9,127.7,127.9,1.15,1633,2524
12/05/2012,125.95,127.8,125.95,126.75,0.8,167,1516
12/04/2012,124.1,126.15,123.95,125.95,1.4,55,1435
12/03/2012,125.7,125.7,124,124.55,-1.15,19,1400
11/30/2012,125.85,125.85,123.9,125.7,-0.7,54,1396
11/29/2012,126.6,126.6,126.4,126.4,0.95,2,1359
11/28/2012,125.45,125.9,123,125.45,-1.5,96,1358
11/27/2012,126.05,128,125.1,126.95,-2,49,1291
11/26/2012,128.85,129.9,128.45,128.95,0.84999999999999,76,1266
11/23/2012,126.35,128.5,125.3,128.1,0.94999999999999,17,1247
11/21/2012,125.25,128.3,124.85,127.15,2.6,65,1249
11/20/2012,122,124.95,121.7,124.55,4,183,1231
11/19/2012,117.75,120.65,117.35,120.55,0.45,141,1353
11/16/2012,121.1,121.1,119.8,120.1,0.59999999999999,46,1412
11/15/2012,117.8,120.5,117.8,119.5,3.25,118,1425
11/14/2012,115,116.75,115,116.25,2.4,45,1380
11/13/2012,112.8,114.05,111.2,113.85,3.1,27,1380
11/12/2012,110.7,112,110.7,110.75,-0.90000000000001,51,1380
11/09/2012,111.8,112.45,111.45,111.65,-2.2,97,1386
11/08/2012,113.15,114.55,112.6,113.85,-0.2,167,1352
11/07/2012,114.55,115,113.7,114.05,-0.10000000000001,18,1199
11/06/2012,111.4,114.2,111.4,114.15,3.25,99,1192
11/05/2012,110.5,111.4,110.5,110.9,0.40000000000001,20,1127
11/02/2012,110.5,110.5,110.5,110.5,0.049999999999997,15,1112
11/01/2012,111.45,111.45,110,110.45,-0.25,54,1097
10/31/2012,111,111,109,110.7,-1.05,118,1051
10/30/2012,112.7,112.7,111.3,111.75,-0.59999999999999,7,1003
10/29/2012,115.6,115.95,112.35,112.35,-3.6,29,1002
10/26/2012,117,117.05,115.95,115.95,-0.3,22,982
10/25/2012,116.25,116.25,116.25,116.25,1.75,1,981
10/24/2012,114.95,115,114.5,114.5,-0.45,6,982
10/23/2012,115.5,115.5,114.95,114.95,-1.35,1,985
10/22/2012,116.35,116.35,115.9,116.3,-0.65000000000001,31,984
10/19/2012,117.95,118,116.85,116.95,-0.34999999999999,13,957
10/18/2012,119.55,119.75,117.3,117.3,-2,16,944
10/17/2012,116.25,119.3,115.9,119.3,2.1,21,950
10/16/2012,116.9,117.2,116.9,117.2,1.15,71,964
10/15/2012,115.15,116.05,115.15,116.05,-0.3,2,942
10/12/2012,116.75,117,116.15,116.35,-0.65000000000001,6,941
10/11/2012,117,117,117,117,1.8,0,941
10/10/2012,115.05,116.45,115,115.2,-0.45,15,941
10/09/2012,116.3,116.3,115.5,115.65,-0.64999999999999,24,932
10/08/2012,116.3,116.3,116.3,116.3,-2.1,0,909
10/05/2012,118.45,118.45,118.4,118.4,-0.44999999999999,2,909
10/04/2012,118.5,118.85,118.05,118.85,-0.35000000000001,7,909
10/03/2012,118.2,119.2,118.2,119.2,0.25,19,904
10/02/2012,118.95,118.95,118.95,118.95,1.8,0,885
10/01/2012,117.3,118.15,117.1,117.15,0.050000000000011,10,885
09/28/2012,118.85,119,117.1,117.1,-1.2,6,877
09/27/2012,118.3,118.3,118.3,118.3,1.3,0,873
09/26/2012,118,118.2,116.85,117,-1.3,51,873
09/25/2012,118.8,119,117.3,118.3,-3.25,44,824
09/24/2012,123.8,123.8,121.55,121.55,-6,10,786
09/21/2012,128.5,128.5,127.55,127.55,-0.60000000000001,7,781
09/20/2012,127.75,128.25,127.75,128.15,0.40000000000001,19,780
09/19/2012,128.3,128.75,127.35,127.75,0.55,6,761
09/18/2012,127.2,127.2,127.2,127.2,-2.05,0,758
09/17/2012,129.25,129.25,129.25,129.25,-2.6,0,758
09/14/2012,131.65,131.85,131.65,131.85,2.25,1,758
09/13/2012,129.6,129.6,129.6,129.6,2.15,0,757
09/12/2012,127.45,127.45,127.45,127.45,1.65,0,757
09/11/2012,126.05,126.1,125.8,125.8,-2.4,6,757
09/10/2012,129.9,129.9,128.2,128.2,-0.70000000000002,4,751
09/07/2012,128.9,128.9,128.9,128.9,2.3,2,747
09/06/2012,126.6,126.6,126.6,126.6,-0.60000000000001,2,745
09/05/2012,126,129,126,127.2,2.8,52,744
09/04/2012,123.35,124.75,123.35,124.4,1.8,18,694
08/31/2012,122.95,122.95,120.45,122.6,1.1,4,684
08/30/2012,120.5,121.5,120.5,121.5,1.65,4,685
08/29/2012,119.85,119.85,119.85,119.85,1.75,52,683
08/28/2012,118.2,118.2,118.05,118.1,0.25,39,631
08/27/2012,116.8,118.05,116.8,117.85,-3.95,19,592
08/24/2012,121.8,121.8,121.8,121.8,-1.85,19,578
08/23/2012,123.65,123.65,123.65,123.65,-2.45,150,563
08/22/2012,122.6,126.1,122.6,126.1,5.85,33,413
08/21/2012,120.25,120.25,120.25,120.25,3.95,25,400
08/20/2012,115.35,116.3,115.35,116.3,2.7,73,375
08/17/2012,113.6,113.6,113.6,113.6,0.19999999999999,0,303
08/16/2012,118.25,118.25,110.55,113.4,-1.2,51,303
08/15/2012,109.25,114.6,109.25,114.6,4.7,24,253
08/14/2012,109.6,109.9,109.4,109.9,0,27,236
08/13/2012,109.7,111.45,109.7,109.9,-1.9,7,217
08/10/2012,112,112.4,110.6,111.8,-1.9,42,215
08/09/2012,113.2,113.7,113.2,113.7,-1.8,1,188
08/08/2012,113.5,115.5,113.5,115.5,1.25,2,188
08/07/2012,114.25,114.25,114.25,114.25,0,0,190
08/06/2012,112.75,114.25,112.75,114.25,-0.84999999999999,1,190
08/03/2012,115.1,115.1,115.1,115.1,3.1,0,189
08/02/2012,112.7,112.7,112,112,0.3,7,189
08/01/2012,109.3,111.7,109.3,111.7,-0.7,1,182
07/31/2012,112.4,112.4,112.4,112.4,-1.25,4,182
07/30/2012,113.65,113.65,113.65,113.65,2.4,0,182
07/27/2012,111.25,111.25,111.25,111.25,0.25,0,182
07/26/2012,111,111,111,111,0.34999999999999,0,182
07/25/2012,110.65,110.65,110.65,110.65,0.75,0,182
07/24/2012,109.9,109.9,109.9,109.9,0.35000000000001,0,182
07/23/2012,109.55,109.55,109.55,109.55,-0.45,0,182
07/20/2012,110,110,110,110,-2.6,0,182
07/19/2012,115.1,115.1,112.6,112.6,-3.1,4,182
07/18/2012,113.2,115.7,113.1,115.7,0.15000000000001,17,180
07/17/2012,115.55,115.55,115.55,115.55,-0.7,0,176
07/16/2012,116.25,116.25,116.25,116.25,-4,0,176
07/13/2012,120.25,120.25,120.25,120.25,-0.90000000000001,0,176
07/12/2012,121.15,121.15,121.15,121.15,-1.8,0,176
07/11/2012,122.95,122.95,122.95,122.95,-2.4,0,176
07/10/2012,125.35,125.35,125.35,125.35,-0.65000000000001,0,176
07/09/2012,126,126,126,126,1.2,0,176
07/06/2012,124.8,124.8,124.8,124.8,0.8,0,176
07/05/2012,124,124,124,124,3.5,0,176
07/03/2012,120.5,120.5,120.5,120.5,3.4,0,176
07/02/2012,117.1,117.1,117.1,117.1,-4.75,0,176
06/29/2012,121.85,121.85,121.85,121.85,7.25,0,176
06/28/2012,113.1,114.6,113,114.6,0.34999999999999,3,176
06/27/2012,114.25,114.25,114.25,114.25,1.95,0,176
06/26/2012,110.15,112.3,110.1,112.3,-3.25,5,176
06/25/2012,115.55,115.55,115.55,115.55,-3.8,0,171
06/22/2012,119.35,119.35,119.35,119.35,0.19999999999999,0,171
06/21/2012,119.15,119.15,119.15,119.15,-1.6,0,171
06/20/2012,120.75,120.75,120.75,120.75,1.15,0,171
06/19/2012,119.6,119.6,119.6,119.6,1.65,0,171
06/18/2012,117.95,117.95,117.95,117.95,1.4,0,171
06/15/2012,116.55,116.55,116.55,116.55,-1.15,0,171
06/14/2012,117.7,117.7,117.7,117.7,-1.4,27,171
06/13/2012,119.1,119.1,119.1,119.1,1,0,144
06/12/2012,118.1,118.1,118.1,118.1,-3.95,48,144
06/11/2012,122.05,122.05,122.05,122.05,-0.75,15,96
06/08/2012,122.8,122.8,122.8,122.8,-2.2,50,96
06/07/2012,125,125,125,125,-0.84999999999999,0,52
06/06/2012,125.85,125.85,125.85,125.85,1.85,0,52
06/05/2012,124,124,124,124,2.1,0,52
06/04/2012,121.9,121.9,121.9,121.9,0.65000000000001,0,52
06/01/2012,121.25,121.25,121.25,121.25,-0.15000000000001,0,52
05/31/2012,121.4,121.4,121.4,121.4,-1,0,52
05/30/2012,122.4,122.4,122.4,122.4,-1.05,0,52
05/29/2012,122.7,123.45,122.7,123.45,1.35,1,52
05/25/2012,122.55,122.55,122.1,122.1,0.39999999999999,4,52
05/24/2012,121.7,121.7,121.7,121.7,6.45,1,52
05/23/2012,115.25,115.25,115.25,115.25,-5,0,52
05/22/2012,120.25,120.25,120.25,120.25,1.65,0,52
05/21/2012,118.6,118.6,118.6,118.6,5.05,0,52
05/18/2012,113.55,113.55,113.55,113.55,-3.05,0,52
05/17/2012,116.6,116.6,116.6,116.6,-6.2,0,52
05/16/2012,122.8,122.8,122.8,122.8,-1.5,0,52
05/15/2012,126.5,126.5,124.3,124.3,-3.9,15,52
05/14/2012,127.5,128.2,127,128.2,-3.45,15,37
05/11/2012,131.65,131.65,131.65,131.65,1.45,0,22
05/10/2012,130.2,130.2,130.2,130.2,4,0,22
