Time,Open,High,Low,Last,Change,Volume,"Open Int"
09/10/2012,139.1,139.1,137.3,137.3,-1.15,12,0
09/07/2012,138.5,138.7,138,138.45,3.15,92,177
09/06/2012,135.75,136.5,135.3,135.3,0.20000000000002,32,269
09/05/2012,135.5,135.75,135.1,135.1,2.8,36,269
09/04/2012,124.15,132.9,124.05,132.3,0.40000000000001,7,277
08/31/2012,129,131.9,126.5,131.9,2.1,93,286
08/30/2012,128.7,129.8,127.05,129.8,1.1,262,383
08/29/2012,125.9,129,125.8,128.7,3.3,322,619
08/28/2012,128.7,128.7,124.25,125.4,-3.9,573,854
08/27/2012,134.25,137.8,129.15,129.3,-9.8,507,1235
08/24/2012,136.6,140.95,134,139.1,2.5,330,1587
08/23/2012,137.8,139.15,132.95,136.6,-2.5,382,1733
08/22/2012,139,140.5,134,139.1,8.55,776,1984
08/21/2012,126.85,135.65,126.85,130.55,4.9,678,2205
08/20/2012,120.5,127.3,120.5,125.65,5.9,556,2675
08/17/2012,120.95,122,118.4,119.75,-0.59999999999999,1002,3076
08/16/2012,125,130.75,119.1,120.35,-4.95,2024,3920
08/15/2012,115.75,125.3,115.75,125.3,10,2184,4696
08/14/2012,114,116.25,114,115.3,1.65,957,5333
08/13/2012,112,114.9,111.9,113.65,0.65000000000001,1380,5929
08/10/2012,113.75,115.9,111.25,113,-1.65,1509,6973
08/09/2012,113.5,116.6,113.5,114.65,0,1295,7900
08/08/2012,112.85,115.2,111.45,114.65,1.8,844,8616
08/07/2012,110.9,113.25,108.3,112.85,1.75,965,9037
08/06/2012,112.75,113.35,108.55,111.1,-1.1,761,9615
08/03/2012,110.85,113.7,109.8,112.2,2.95,718,9847
08/02/2012,107.65,115.75,107.3,109.25,1.6,1622,10080
08/01/2012,109.4,110,105.15,107.65,-2.25,1468,10116
07/31/2012,112.45,112.65,107.8,109.9,-2.35,1738,11331
07/30/2012,110.4,116.75,110.4,112.25,2.2,910,12472
07/27/2012,109.55,110.3,108.9,110.05,0.099999999999994,358,12906
07/26/2012,110,111.9,108.75,109.95,-0.25,467,12948
07/25/2012,110.65,113.15,109.25,110.2,0.40000000000001,334,12989
07/24/2012,109.1,113.7,108.7,109.8,0.39999999999999,769,13034
07/23/2012,110,110.35,108.05,109.4,-0.59999999999999,990,13312
07/20/2012,112.3,112.5,109.7,110,-2.6,980,13415
07/19/2012,116.5,120.95,111.25,112.6,-3.5,1101,13527
07/18/2012,117.85,119.45,113,116.1,-1.55,913,13517
07/17/2012,116.8,118.25,115.8,117.65,-0.3,817,13540
07/16/2012,122.55,123.25,116.65,117.95,-4.6,813,13478
07/13/2012,122.9,124.45,122.25,122.55,-1.2,324,13494
07/12/2012,125,125.5,120.4,123.75,-1.55,590,13483
07/11/2012,128.25,129.3,122.3,125.3,-2.9,551,13528
07/10/2012,129.4,131.55,127.1,128.2,-0.80000000000001,971,13614
07/09/2012,127.1,129.25,125.25,129,1.9,626,13565
07/06/2012,124.8,129.05,121.55,127.1,2.3,1019,13528
07/05/2012,122,128.2,121.3,124.8,4.05,1570,13931
07/03/2012,117.25,122.85,117,120.75,3.4,771,13863
07/02/2012,122.25,124.6,114.5,117.35,-4.4,1722,14060
06/29/2012,114.8,124.25,112.55,121.75,7.5,1655,14040
06/28/2012,114,116.45,111.25,114.25,0.8,1601,13656
06/27/2012,112.25,114.9,110.6,113.45,2.3,1652,12853
06/26/2012,114.65,115.15,110.2,111.15,-4,1482,11856
06/25/2012,116.9,117.6,114.65,115.15,-0.55,1201,11081
06/22/2012,116,116.95,115,115.7,0.2,2495,10490
06/21/2012,116.1,117.8,114.75,115.5,-1.25,1867,10298
06/20/2012,115.9,118.5,113.9,116.75,2,1196,9872
06/19/2012,110.9,115.3,110,114.75,3.85,1225,9681
06/18/2012,109.65,112.5,108.6,110.9,1.7,1011,9318
06/15/2012,109.85,112,108.6,109.2,-0.59999999999999,942,8925
06/14/2012,112,112.45,107.65,109.8,-1.4,444,8817
06/13/2012,110.5,114.85,108.4,111.2,1.2,752,8765
06/12/2012,113.55,113.55,109.35,110,-4.75,1139,8363
06/11/2012,115.2,116,114.15,114.75,-0.45,757,7835
06/08/2012,115.25,116.45,113.2,115.2,-2.35,950,7231
06/07/2012,119.4,120.5,113.9,117.55,-0.75,667,6812
06/06/2012,118.25,120,116.45,118.3,1.65,779,6443
06/05/2012,113.8,118.25,113.8,116.65,3.1,700,6097
06/04/2012,111.25,113.8,111.25,113.55,-0.2,588,5784
06/01/2012,112.65,114.4,111.2,113.75,-0.049999999999997,1660,5510
05/31/2012,112.75,115.9,112.5,113.8,0.75,563,4083
