Time,Open,High,Low,Last,Change,Volume,"Open Int"
11/09/2017,161,161.35,161,161.35,0.049999999999983,1,0
11/08/2017,162,162,161.3,161.3,1.25,1,39
11/07/2017,161.35,161.35,159.8,160.05,-0.34999999999999,7,40
11/06/2017,160.4,160.4,160.4,160.4,2.55,0,47
11/03/2017,157.85,157.85,157.85,157.85,2.1,0,47
11/02/2017,155.75,155.75,155.75,155.75,2.85,4,47
11/01/2017,151.9,152.9,151.9,152.9,-3.35,125,51
10/31/2017,157.3,158.65,154.3,156.25,-0.55000000000001,110,176
10/30/2017,155,159.95,155,156.8,1.25,194,244
10/27/2017,155,156.8,154.45,155.55,1.85,564,366
10/26/2017,152.7,155,151.85,153.7,0.34999999999999,359,647
10/25/2017,150.55,156.55,150.5,153.35,1.75,382,906
10/24/2017,152.45,152.45,150.35,151.6,-1.15,412,1129
10/23/2017,155.7,159.05,151.7,152.75,-3.25,471,1392
10/20/2017,152.9,157.3,152.4,156,3.9,648,1600
10/19/2017,150.85,153.6,149.2,152.1,1.8,401,2334
10/18/2017,153.15,153.3,149.8,150.3,-2.45,742,2419
10/17/2017,152.55,153.75,151.6,152.75,0.40000000000001,434,2803
10/16/2017,152,154.1,150.3,152.35,0.75,691,3121
10/13/2017,157.85,158.85,150.1,151.6,-7.3,1254,3505
10/12/2017,162.2,164.8,156.6,158.9,-3.7,1554,3884
10/11/2017,161.7,162.85,159.15,162.6,1.35,1073,4094
10/10/2017,157.1,161.65,155.65,161.25,3.75,1057,4234
10/09/2017,157.1,159.05,155,157.5,0.34999999999999,592,4081
10/06/2017,157.85,159.05,155.65,157.15,-2.05,541,4139
10/05/2017,158.75,159.8,156.5,159.2,1,955,4317
10/04/2017,153.5,159.4,153.5,158.2,2.9,779,4562
10/03/2017,153.3,156.25,151.65,155.3,2.3,707,4669
10/02/2017,149.2,153.75,149.05,153,4.65,734,4809
09/29/2017,146.05,149.85,145.4,148.35,1.35,821,4911
09/28/2017,149.95,151.2,146.3,147,-2.95,622,5177
09/27/2017,148.45,150.8,147.4,149.95,2.15,515,5366
09/26/2017,145.8,148.7,145.75,147.8,2.25,446,5332
09/25/2017,146,146.3,141.5,145.55,-1.25,682,5347
09/22/2017,153,153,145.75,146.8,-5.45,843,5504
09/21/2017,154.5,154.7,151,152.25,-2.45,421,5688
09/20/2017,152.05,156.85,152.05,154.7,2.55,703,5800
09/19/2017,152,154.3,149.1,152.15,0.80000000000001,747,6028
09/18/2017,149.75,152.25,148.25,151.35,1.7,558,6147
09/15/2017,150.65,151.3,148.7,149.65,-1.15,729,6115
09/14/2017,155.05,156.5,147.2,150.8,-4.85,1477,6222
09/13/2017,157,160.6,154.45,155.65,-1.5,1415,6364
09/12/2017,151.2,158.65,151.2,157.15,5.7,2038,6415
09/11/2017,153.7,158.25,145.1,151.45,-2.55,3213,6517
09/08/2017,148.3,155.2,148.3,154,7.65,2671,7125
09/07/2017,140.75,146.55,138.8,146.35,5.55,2514,7351
09/06/2017,145.8,149.9,135.45,140.8,-4.2,4247,7015
09/05/2017,140.25,146.4,140.25,145,8.5,2906,7174
09/01/2017,134,137.45,134,136.5,2.7,0,7597
08/31/2017,130.3,134.95,129.6,133.8,3.75,847,7689
08/30/2017,131.15,132.3,129.3,130.05,-1.1,1144,7523
08/29/2017,132.85,134.35,130.65,131.15,-2.1,758,7444
08/28/2017,135.45,135.6,132.15,133.25,-2.2,666,7343
08/25/2017,133.45,136.45,131.8,135.45,1.8,1100,7146
08/24/2017,131.4,133.8,130.9,133.65,2.45,640,7026
08/23/2017,131.05,133.4,130.7,131.2,0,824,6868
08/22/2017,135,135,130.4,131.2,-4.8,1208,6628
08/21/2017,136.35,136.7,133.25,136,-0.40000000000001,977,6220
08/18/2017,139.7,140.4,135.05,136.4,-3,1230,6029
08/17/2017,136.35,139.85,135.8,139.4,3,1390,5791
08/16/2017,135.55,137.6,135.1,136.4,0.70000000000002,802,5467
08/15/2017,133.7,137.6,132.9,135.7,2,602,5205
08/14/2017,134.5,135.15,132.75,133.7,-0.95000000000002,385,4967
08/11/2017,134.65,134.8,131.4,134.65,0.95000000000002,226,4744
08/10/2017,133.95,136.75,132.5,133.7,1.3,552,4638
