Time,Open,High,Low,Last,Change,Volume,"Open Int"
02/07/2020,94.85,94.85,94.85,94.85,0.049999999999997,0,0
02/06/2020,94.8,94.8,94.8,94.8,0.39999999999999,0,0
02/05/2020,94.4,94.4,94.4,94.4,1.05,0,0
02/04/2020,93.35,93.35,93.35,93.35,-1,0,0
02/03/2020,94.35,94.35,94.35,94.35,-1.35,0,0
01/31/2020,95.7,95.7,95.7,95.7,-0.14999999999999,0,0
01/30/2020,95.85,95.85,95.85,95.85,-1.1,0,0
01/29/2020,96.95,96.95,96.95,96.95,0.85000000000001,0,0
01/28/2020,96.1,96.1,96.1,96.1,0.75,0,0
01/27/2020,95.35,95.35,95.35,95.35,-0.15000000000001,0,0
01/24/2020,95.5,95.5,95.5,95.5,0.59999999999999,0,0
01/23/2020,94.9,94.9,94.9,94.9,-2.1,0,0
01/22/2020,97,97,97,97,1.1,0,0
01/21/2020,95.9,95.9,95.9,95.9,0.40000000000001,0,0
01/17/2020,95.5,95.5,95.5,95.5,-0.8,0,0
01/16/2020,96.3,96.3,96.3,96.3,-0.60000000000001,0,0
01/15/2020,96.9,96.9,96.9,96.9,0.050000000000011,0,0
01/14/2020,96.85,96.85,96.85,96.85,1.3,0,0
01/13/2020,95.55,95.55,95.55,95.55,-1.65,0,0
01/10/2020,97.2,97.2,97.2,97.2,0.2,0,0
01/09/2020,97,97,97,97,-4.65,0,0
01/08/2020,101.65,101.65,101.65,101.65,0.10000000000001,0,0
01/07/2020,101.55,101.55,101.55,101.55,-0.5,0,0
01/06/2020,102.05,102.05,102.05,102.05,2.65,0,0
01/03/2020,99.4,99.4,99.4,99.4,3.35,0,0
01/02/2020,96.05,96.05,96.05,96.05,-0.55,0,0
12/31/2019,96.6,96.6,96.6,96.6,2.65,0,0
12/30/2019,93.95,93.95,93.95,93.95,-3.55,0,0
12/27/2019,97.5,97.5,97.5,97.5,0.40000000000001,0,0
12/26/2019,97.1,97.1,97.1,97.1,-2.65,0,0
12/24/2019,99.75,99.75,99.75,99.75,-1.25,0,0
12/23/2019,101,101,101,101,0.25,0,0
12/20/2019,100.75,100.75,100.75,100.75,0.90000000000001,0,0
12/19/2019,99.85,99.85,99.85,99.85,1.95,0,0
12/18/2019,97.9,97.9,97.9,97.9,0.75,0,0
12/17/2019,97.15,97.15,97.15,97.15,-0.84999999999999,0,0
12/16/2019,98,98,98,98,0.84999999999999,0,0
12/13/2019,97.15,97.15,97.15,97.15,0.050000000000011,0,0
12/12/2019,97.1,97.1,97.1,97.1,-1.25,0,0
12/11/2019,98.35,98.35,98.35,98.35,0.049999999999997,0,0
12/10/2019,98.3,98.3,98.3,98.3,0.89999999999999,0,0
12/09/2019,97.4,97.4,97.4,97.4,2.1,0,0
12/06/2019,95.3,95.3,95.3,95.3,-0.35000000000001,0,0
12/05/2019,95.65,95.65,95.65,95.65,-0.25,0,0
12/04/2019,95.9,95.9,95.9,95.9,-0.8,0,0
12/03/2019,96.7,96.7,96.7,96.7,0.40000000000001,0,0
12/02/2019,96.3,96.3,96.3,96.3,-2.6,0,0
11/29/2019,98.9,98.9,98.9,98.9,-1.1,0,0
11/27/2019,100,100,100,100,0,0,0
11/26/2019,100,100,100,100,0.65000000000001,0,0
11/25/2019,99.35,99.35,99.35,99.35,0.69999999999999,0,0
11/22/2019,98.65,98.65,98.65,98.65,0.25,0,0
11/21/2019,98.4,98.4,98.4,98.4,-1.15,0,0
11/20/2019,99.55,99.55,99.55,99.55,1.55,0,0
11/19/2019,98,98,98,98,-0.25,0,0
11/18/2019,98.25,98.25,98.25,98.25,-2.2,0,0
11/15/2019,100.45,100.45,100.45,100.45,0.15000000000001,0,0
11/14/2019,100.3,100.3,100.3,100.3,0.2,0,0
11/13/2019,100.1,100.1,100.1,100.1,1.5,0,0
11/12/2019,98.6,98.6,98.6,98.6,0.3,0,0
