City,StationID,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York City,GHCND:USW00094728,,x,prcp_van,prcp_tor,prcp_la,prcp_den,prcp_avon,prcp_pierce,prcp_lake,prcp_moore,prcp_okee,prcp_orlan,prcp_sdo,prcp_sfo,prcp_nyc,tavg_van,tavg_tor,tavg_la,tavg_den,tavg_avon,tavg_pierce,tavg_lake,tavg_moore,tavg_okee,tavg_orlan,tavg_sdo,tavg_sfo,tavg_nyc
Los Angeles,GHCND:USC00047953,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto,GHCND:CA006158355,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Vancouver,GHCND:CA001108395,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,GHCND:USC00052223,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,GHCND:USW00023188,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,GHCND:USW00023272,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moore Haven, FL",GHCND:USC00085895,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
"Okeechobee, FL",GHCND:USC00086485,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lakeland, FL",GHCND:USC00084802,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fort Pierce, FL",GHCND:USC00083207,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
"Orlando, FL",GHCND:USW00012841,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
"Avon Park, FL",GHCND:USC00080369,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
