"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","2.797","2.821","2.822","2.796","42.72K","-1.27%"
"Dec 30, 2019","2.833","2.825","2.838","2.819","46.91K","0.14%"
"Dec 27, 2019","2.829","2.851","2.851","2.814","52.67K","-0.70%"
"Dec 26, 2019","2.849","2.837","2.857","2.825","33.11K","0.39%"
"Dec 25, 2019","2.838","2.825","2.842","2.825","-","0.35%"
"Dec 24, 2019","2.828","2.809","2.833","2.804","39.23K","0.71%"
"Dec 23, 2019","2.808","2.807","2.813","2.794","41.19K","0.07%"
"Dec 20, 2019","2.806","2.825","2.834","2.799","53.80K","-0.71%"
"Dec 19, 2019","2.826","2.812","2.828","2.800","43.42K","0.50%"
"Dec 18, 2019","2.812","2.810","2.814","2.788","55.98K","-0.04%"
"Dec 17, 2019","2.813","2.809","2.826","2.801","60.01K","0.04%"
"Dec 16, 2019","2.812","2.787","2.818","2.781","62.84K","1.11%"
"Dec 13, 2019","2.781","2.813","2.831","2.765","115.06K","-0.54%"
"Dec 12, 2019","2.796","2.795","2.814","2.764","101.02K","0.25%"
"Dec 11, 2019","2.789","2.766","2.798","2.757","77.55K","0.87%"
"Dec 10, 2019","2.765","2.753","2.770","2.748","70.83K","0.22%"
"Dec 09, 2019","2.759","2.745","2.762","2.720","97.05K","1.25%"
"Dec 06, 2019","2.725","2.666","2.753","2.664","79.72K","2.33%"
"Dec 05, 2019","2.663","2.662","2.676","2.654","46.28K","0.15%"
"Dec 04, 2019","2.659","2.627","2.667","2.620","72.33K","1.37%"
"Dec 03, 2019","2.623","2.651","2.655","2.620","80.85K","-1.06%"
"Dec 02, 2019","2.651","2.662","2.679","2.647","64.21K","-0.41%"
"Nov 29, 2019","2.662","2.699","2.700","2.654","72.15K","-0.30%"
"Nov 28, 2019","2.670","2.694","2.695","2.667","-","-0.96%"
"Nov 27, 2019","2.696","2.696","2.710","2.684","77.57K","-0.04%"
"Nov 26, 2019","2.697","2.660","2.699","2.652","48.30K","1.31%"
"Nov 25, 2019","2.662","2.656","2.682","2.648","45.08K","0.11%"
"Nov 22, 2019","2.659","2.638","2.663","2.629","38.35K","0.87%"
"Nov 21, 2019","2.636","2.659","2.659","2.634","41.48K","-0.90%"
"Nov 20, 2019","2.660","2.666","2.678","2.652","29.17K","-0.30%"
"Nov 19, 2019","2.668","2.633","2.675","2.630","36.19K","1.29%"
"Nov 18, 2019","2.634","2.652","2.662","2.629","32.16K","-0.64%"
"Nov 15, 2019","2.651","2.639","2.655","2.636","20.08K","0.61%"
"Nov 14, 2019","2.635","2.648","2.670","2.628","28.00K","-0.60%"
"Nov 13, 2019","2.651","2.657","2.663","2.645","22.59K","-0.19%"
"Nov 12, 2019","2.656","2.672","2.693","2.654","23.30K","-0.30%"
"Nov 11, 2019","2.664","2.683","2.690","2.656","54.25K","-0.67%"
"Nov 08, 2019","2.682","2.712","2.721","2.676","73.11K","-1.69%"
"Nov 07, 2019","2.728","2.671","2.730","2.666","99.63K","2.36%"
"Nov 06, 2019","2.665","2.700","2.701","2.660","62.89K","-1.30%"
"Nov 05, 2019","2.700","2.666","2.716","2.663","93.00K","1.09%"
"Nov 04, 2019","2.671","2.663","2.677","2.654","53.74K","0.68%"
"Nov 01, 2019","2.653","2.637","2.664","2.631","62.35K","0.57%"
"Oct 31, 2019","2.638","2.681","2.688","2.628","91.15K","-1.79%"
"Oct 30, 2019","2.686","2.692","2.696","2.660","61.86K","-0.22%"
"Oct 29, 2019","2.692","2.682","2.697","2.672","52.04K","0.34%"
"Oct 28, 2019","2.683","2.685","2.689","2.674","49.12K","0.30%"
"Oct 25, 2019","2.675","2.667","2.691","2.659","57.34K","0.26%"
"Oct 24, 2019","2.668","2.669","2.679","2.659","61.06K","-0.11%"
"Oct 23, 2019","2.671","2.635","2.675","2.615","75.68K","1.44%"
"Oct 22, 2019","2.633","2.645","2.651","2.630","46.14K","-0.53%"
"Oct 21, 2019","2.647","2.639","2.660","2.631","54.49K","0.42%"
"Oct 18, 2019","2.636","2.600","2.646","2.585","71.81K","1.46%"
"Oct 17, 2019","2.598","2.587","2.618","2.577","53.90K","0.31%"
"Oct 16, 2019","2.590","2.612","2.613","2.573","54.26K","-0.92%"
"Oct 15, 2019","2.614","2.632","2.642","2.606","53.71K","-0.76%"
"Oct 14, 2019","2.634","2.627","2.635","2.594","58.73K","0.23%"
"Oct 11, 2019","2.628","2.611","2.639","2.606","71.34K","0.54%"
"Oct 10, 2019","2.614","2.569","2.620","2.547","76.15K","1.79%"
"Oct 09, 2019","2.568","2.567","2.579","2.561","46.71K","0.00%"
"Oct 08, 2019","2.568","2.573","2.602","2.562","62.32K","-0.35%"
