"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","68.98","69.46","69.72","68.81","-","-0.88%"
"Dec 30, 2019","69.59","68.97","69.69","68.97","-","1.22%"
"Dec 27, 2019","68.75","68.79","69.32","68.47","-","0.10%"
"Dec 26, 2019","68.68","68.71","69.34","68.47","-","-0.06%"
"Dec 25, 2019","68.72","68.72","68.72","68.72","-","0.00%"
"Dec 24, 2019","68.72","68.49","68.73","68.24","-","0.32%"
"Dec 23, 2019","68.50","67.99","68.75","67.62","-","0.82%"
"Dec 20, 2019","67.94","67.54","68.31","67.13","-","0.34%"
"Dec 19, 2019","67.71","66.72","67.86","66.69","-","1.41%"
"Dec 18, 2019","66.77","66.48","67.18","66.25","-","0.47%"
"Dec 17, 2019","66.46","66.86","67.07","66.31","-","-0.78%"
"Dec 16, 2019","66.98","66.78","67.43","66.44","-","0.34%"
"Dec 13, 2019","66.75","67.40","67.80","66.44","-","-0.65%"
"Dec 12, 2019","67.19","65.83","67.38","65.58","-","1.99%"
"Dec 11, 2019","65.88","65.86","66.19","65.35","-","-0.11%"
"Dec 10, 2019","65.95","65.68","66.23","64.88","-","0.75%"
"Dec 09, 2019","65.46","66.18","66.25","64.81","-","-0.74%"
"Dec 06, 2019","65.95","64.52","66.33","64.52","-","2.25%"
"Dec 05, 2019","64.50","64.83","65.20","64.41","-","-0.52%"
"Dec 04, 2019","64.84","64.06","64.84","64.05","-","1.22%"
"Dec 03, 2019","64.06","64.70","64.92","64.03","-","-1.20%"
"Dec 02, 2019","64.84","65.34","65.97","64.75","-","-0.70%"
"Nov 29, 2019","65.30","65.69","65.69","65.12","-","-0.85%"
"Nov 27, 2019","65.86","65.84","66.09","65.31","-","0.02%"
"Nov 26, 2019","65.85","65.68","66.13","65.42","-","0.12%"
"Nov 25, 2019","65.77","64.94","65.89","64.77","-","1.39%"
"Nov 22, 2019","64.87","64.08","64.90","63.97","-","1.34%"
"Nov 21, 2019","64.01","63.93","64.84","63.70","-","-0.33%"
"Nov 20, 2019","64.22","65.25","65.81","64.19","-","-1.67%"
"Nov 19, 2019","65.31","65.55","66.05","65.17","-","-0.74%"
"Nov 18, 2019","65.80","66.49","66.63","65.27","-","1.45%"
"Nov 15, 2019","64.86","64.33","65.00","64.23","-","0.97%"
"Nov 14, 2019","64.24","64.40","64.90","63.86","-","-0.09%"
"Nov 13, 2019","64.30","64.52","64.84","64.14","-","-0.54%"
"Nov 12, 2019","64.65","64.26","64.82","64.05","-","0.54%"
"Nov 11, 2019","64.30","64.56","64.83","63.74","-","-0.33%"
"Nov 08, 2019","64.51","64.21","65.06","63.62","-","0.51%"
"Nov 07, 2019","64.18","63.59","64.86","63.49","-","0.83%"
"Nov 06, 2019","63.65","63.75","64.11","63.46","-","-0.19%"
"Nov 05, 2019","63.77","63.75","64.21","63.56","-","0.00%"
"Nov 04, 2019","63.77","64.68","64.97","63.55","-","-1.33%"
"Nov 01, 2019","64.63","64.36","64.91","63.82","-","0.39%"
"Oct 31, 2019","64.38","65.63","65.96","64.02","-","-2.02%"
"Oct 30, 2019","65.71","64.73","65.99","64.65","-","1.44%"
"Oct 29, 2019","64.78","64.88","65.46","64.71","-","-0.08%"
"Oct 28, 2019","64.83","65.18","65.28","64.49","-","-0.25%"
"Oct 25, 2019","64.99","64.68","65.69","64.59","-","0.49%"
"Oct 24, 2019","64.67","64.91","65.52","64.61","-","-0.32%"
"Oct 23, 2019","64.88","64.61","65.18","64.41","-","0.32%"
"Oct 22, 2019","64.67","64.39","65.19","63.97","-","0.34%"
"Oct 21, 2019","64.45","65.21","65.45","64.45","-","-1.12%"
"Oct 18, 2019","65.18","65.14","65.39","65.01","-","0.14%"
"Oct 17, 2019","65.09","64.53","65.14","64.20","-","0.84%"
"Oct 16, 2019","64.55","63.48","64.58","63.06","-","1.77%"
"Oct 15, 2019","63.43","62.04","63.69","61.73","-","1.98%"
"Oct 14, 2019","62.20","64.31","65.87","62.20","-","-2.81%"
"Oct 11, 2019","64.00","61.71","64.00","61.54","-","3.98%"
"Oct 10, 2019","61.55","62.05","62.47","61.37","-","-0.85%"
"Oct 09, 2019","62.08","61.26","62.38","61.00","-","1.21%"
"Oct 08, 2019","61.34","61.61","61.79","60.80","-","-0.79%"
"Oct 07, 2019","61.83","61.88","62.27","61.40","-","0.10%"
"Oct 04, 2019","61.77","61.72","62.13","61.23","-","0.34%"
"Oct 03, 2019","61.56","61.26","62.91","61.16","-","0.44%"
"Oct 02, 2019","61.29","60.95","61.53","60.39","-","0.56%"
"Oct 01, 2019","60.95","60.89","61.13","60.20","-","0.35%"
"Sep 30, 2019","60.74","60.88","61.13","60.09","-","-0.41%"
"Sep 27, 2019","60.99","60.04","61.00","59.59","-","1.25%"
"Sep 26, 2019","60.24","60.58","60.94","59.93","-","-0.63%"
"Sep 25, 2019","60.62","60.64","60.65","59.64","-","0.40%"
"Sep 24, 2019","60.38","60.81","60.95","59.66","-","-0.72%"
"Sep 23, 2019","60.82","60.62","61.67","60.14","-","0.45%"
"Sep 20, 2019","60.55","60.31","60.87","60.21","-","0.31%"
"Sep 19, 2019","60.36","60.53","61.12","60.29","-","-0.10%"
"Sep 18, 2019","60.42","61.23","61.34","60.42","-","-1.45%"
"Sep 17, 2019","61.31","62.46","62.55","60.81","-","-2.01%"
"Sep 16, 2019","62.57","62.58","62.78","61.89","-","0.43%"
"Sep 13, 2019","62.30","62.29","63.30","62.07","-","0.45%"
"Sep 12, 2019","62.02","59.52","62.36","59.47","-","4.45%"
"Sep 11, 2019","59.38","59.22","59.55","58.97","-","0.34%"
"Sep 10, 2019","59.18","58.91","59.70","58.91","-","0.39%"
"Sep 09, 2019","58.95","58.48","59.09","58.34","-","0.86%"
"Sep 06, 2019","58.45","59.08","59.86","58.04","-","-1.18%"
"Sep 05, 2019","59.15","58.34","59.17","58.15","-","1.67%"
"Sep 04, 2019","58.18","57.97","58.78","57.85","-","0.55%"
"Sep 03, 2019","57.86","58.54","58.72","57.56","-","-1.73%"
"Aug 30, 2019","58.88","59.00","59.30","58.48","-","-0.19%"
"Aug 29, 2019","58.99","58.73","59.28","57.96","-","0.49%"
"Aug 28, 2019","58.70","58.02","58.92","57.84","-","1.33%"
"Aug 27, 2019","57.93","57.68","59.41","57.41","-","0.28%"
"Aug 26, 2019","57.77","57.90","57.94","56.59","-","-0.70%"
"Aug 23, 2019","58.18","58.89","59.54","58.07","-","-1.19%"
"Aug 22, 2019","58.88","59.95","60.03","58.87","-","-1.75%"
"Aug 21, 2019","59.93","58.88","59.98","58.69","-","1.44%"
"Aug 20, 2019","59.08","59.35","59.65","59.08","-","-0.17%"
"Aug 19, 2019","59.18","60.14","60.18","59.12","-","-1.56%"
"Aug 16, 2019","60.12","59.57","60.23","59.54","-","0.89%"
"Aug 15, 2019","59.59","59.47","60.18","59.27","-","0.13%"
"Aug 14, 2019","59.51","59.40","59.86","58.95","-","-0.08%"
"Aug 13, 2019","59.56","58.11","59.95","57.90","-","2.44%"
"Aug 12, 2019","58.14","58.99","59.04","57.57","-","-1.21%"
"Aug 09, 2019","58.85","59.68","59.68","58.80","-","-1.31%"
"Aug 08, 2019","59.63","58.88","59.78","58.69","-","1.24%"
"Aug 07, 2019","58.90","58.74","58.93","57.52","-","0.20%"
"Aug 06, 2019","58.78","58.57","58.80","58.18","-","0.31%"
"Aug 05, 2019","58.60","59.75","60.10","57.27","-","-1.38%"
"Aug 02, 2019","59.42","62.14","62.15","59.38","-","-4.64%"
"Aug 01, 2019","62.31","63.87","63.87","62.26","-","-2.46%"
"Jul 31, 2019","63.88","63.38","63.98","63.14","-","0.88%"
"Jul 30, 2019","63.32","64.05","64.15","62.86","-","-1.43%"
"Jul 29, 2019","64.24","64.04","64.43","63.27","-","-0.34%"
"Jul 26, 2019","64.46","64.12","64.61","63.58","-","0.39%"
"Jul 25, 2019","64.21","64.18","64.67","63.97","-","-0.02%"
"Jul 24, 2019","64.22","63.57","64.67","63.54","-","0.78%"
"Jul 23, 2019","63.72","63.29","63.82","62.94","-","0.52%"
"Jul 22, 2019","63.39","63.23","63.97","63.11","-","0.48%"
"Jul 19, 2019","63.09","61.69","63.27","61.69","-","2.22%"
"Jul 18, 2019","61.72","62.48","62.58","61.67","-","-1.31%"
"Jul 17, 2019","62.54","63.07","63.17","62.34","-","-0.90%"
"Jul 16, 2019","63.11","63.90","63.90","62.85","-","-1.33%"
"Jul 15, 2019","63.96","62.83","64.09","62.69","-","2.12%"
"Jul 12, 2019","62.63","63.18","63.45","62.63","-","-0.78%"
"Jul 11, 2019","63.12","63.96","64.10","62.86","-","-1.21%"
"Jul 10, 2019","63.89","63.08","64.20","62.75","-","1.33%"
"Jul 09, 2019","63.05","64.76","65.02","62.76","-","-3.25%"
"Jul 08, 2019","65.17","66.27","66.48","65.16","-","-1.73%"
"Jul 05, 2019","66.32","66.51","66.74","65.84","-","-0.30%"
"Jul 03, 2019","66.52","66.39","67.16","66.28","-","0.03%"
"Jul 02, 2019","66.50","65.81","66.88","65.28","-","1.34%"
"Jul 01, 2019","65.62","67.10","67.84","65.59","-","-0.17%"
"Jun 28, 2019","65.73","65.97","66.73","65.56","-","-0.39%"
"Jun 27, 2019","65.99","66.54","66.72","65.78","-","-0.53%"
"Jun 26, 2019","66.34","65.63","67.48","65.47","-","1.19%"
"Jun 25, 2019","65.56","65.39","66.15","65.22","-","0.21%"
"Jun 24, 2019","65.42","64.71","65.55","64.69","-","6.10%"
"Jun 21, 2019","61.66","63.39","63.95","60.52","-","-2.51%"
"Jun 20, 2019","63.25","65.31","65.72","62.99","-","-3.35%"
"Jun 19, 2019","65.44","65.56","66.36","65.32","-","0.05%"
"Jun 18, 2019","65.41","65.44","66.99","64.98","-","0.08%"
"Jun 17, 2019","65.36","66.03","66.49","65.35","-","-0.97%"
"Jun 14, 2019","66.00","66.91","66.92","65.91","-","-1.32%"
"Jun 13, 2019","66.88","66.62","67.51","66.05","-","0.56%"
"Jun 12, 2019","66.51","65.65","66.94","65.42","-","1.26%"
"Jun 11, 2019","65.68","65.73","66.36","65.30","-","-0.32%"
"Jun 10, 2019","65.89","65.87","66.50","64.86","-","-0.30%"
"Jun 07, 2019","66.09","68.66","68.72","65.59","-","-3.56%"
"Jun 06, 2019","68.53","68.66","68.72","67.50","-","-0.32%"
"Jun 05, 2019","68.75","69.11","69.61","68.44","-","-0.32%"
"Jun 04, 2019","68.97","69.59","69.82","68.49","-","-0.62%"
"Jun 03, 2019","69.40","68.16","69.53","66.91","-","1.80%"
"May 31, 2019","68.17","69.31","69.67","68.00","-","-1.64%"
"May 30, 2019","69.31","69.01","69.49","68.20","-","0.25%"
"May 29, 2019","69.14","69.58","69.81","68.66","-","-0.29%"
"May 28, 2019","69.34","68.51","69.49","68.46","-","1.46%"
"May 24, 2019","68.34","67.41","68.58","67.36","-","1.21%"
"May 23, 2019","67.52","66.78","68.22","66.53","-","1.20%"
"May 22, 2019","66.72","67.41","67.45","66.12","-","-0.94%"
"May 21, 2019","67.35","67.98","68.22","67.02","-","-0.91%"
"May 20, 2019","67.97","66.25","67.97","65.85","-","3.22%"
"May 17, 2019","65.85","66.64","66.78","65.84","-","-1.54%"
"May 16, 2019","66.88","66.62","67.16","66.41","-","0.71%"
"May 15, 2019","66.41","66.69","67.27","65.80","-","-0.46%"
"May 14, 2019","66.72","65.81","67.14","64.51","-","1.26%"
"May 13, 2019","65.89","68.57","68.58","65.49","-","-3.77%"
"May 10, 2019","68.47","70.59","71.50","68.35","-","-2.35%"
"May 09, 2019","70.12","72.23","72.34","69.65","-","-3.06%"
"May 08, 2019","72.33","73.19","73.62","71.93","-","-1.13%"
"May 07, 2019","73.16","73.69","74.72","73.16","-","-0.44%"
"May 06, 2019","73.48","75.08","75.08","73.04","-","-2.96%"
"May 03, 2019","75.72","75.45","76.31","75.44","-","0.37%"
"May 02, 2019","75.44","76.36","76.59","75.38","-","-1.57%"
"May 01, 2019","76.64","76.71","76.88","75.66","-","-0.17%"
"Apr 30, 2019","76.77","76.88","77.32","76.56","-","-0.26%"
"Apr 29, 2019","76.97","77.75","78.09","76.85","-","-0.89%"
"Apr 26, 2019","77.66","78.36","78.39","77.28","-","-0.86%"
"Apr 25, 2019","78.33","77.15","78.47","77.15","-","1.53%"
"Apr 24, 2019","77.15","77.79","77.93","77.06","-","-0.89%"
"Apr 23, 2019","77.84","78.43","78.50","77.17","-","-0.74%"
"Apr 22, 2019","78.42","78.44","78.83","78.16","-","1.40%"
"Apr 18, 2019","77.34","78.03","78.22","77.02","-","-1.06%"
