"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","34.49","35.10","35.10","34.12","5.09K","-1.93%"
"Dec 30, 2019","35.17","34.70","35.22","34.66","34.42K","0.23%"
"Dec 29, 2019","35.09","35.08","35.09","35.08","-","1.04%"
"Dec 27, 2019","34.73","34.36","34.89","34.36","42.25K","1.02%"
"Dec 26, 2019","34.38","34.15","34.58","34.12","28.47K","1.51%"
"Dec 25, 2019","33.87","33.87","33.87","33.87","-","-0.03%"
"Dec 24, 2019","33.88","33.73","33.96","33.54","24.71K","0.30%"
"Dec 23, 2019","33.78","33.97","34.02","33.67","40.22K","-0.73%"
"Dec 22, 2019","34.03","34.02","34.03","34.02","-","0.71%"
"Dec 20, 2019","33.79","33.87","33.99","33.56","63.37K","0.00%"
"Dec 19, 2019","33.79","33.48","34.02","33.28","51.29K","1.08%"
"Dec 18, 2019","33.43","33.72","33.80","33.26","65.32K","-1.15%"
"Dec 17, 2019","33.82","33.18","34.09","33.18","97.39K","2.05%"
"Dec 16, 2019","33.14","32.70","33.20","32.63","63.06K","1.63%"
"Dec 13, 2019","32.61","32.23","32.94","32.23","-","1.81%"
"Dec 12, 2019","32.03","31.64","31.95","31.64","0.12K","2.56%"
"Dec 11, 2019","31.23","31.31","31.31","31.20","0.02K","-0.76%"
"Dec 10, 2019","31.47","31.17","31.54","31.17","0.64K","0.35%"
"Dec 09, 2019","31.36","31.24","31.54","31.21","1.01K","1.13%"
"Dec 06, 2019","31.01","30.70","30.94","30.61","1.28K","2.38%"
"Dec 05, 2019","30.29","30.55","30.55","30.23","1.50K","0.07%"
"Dec 04, 2019","30.27","30.00","30.32","29.99","3.20K","0.93%"
"Dec 03, 2019","29.99","30.03","30.21","29.94","4.26K","0.10%"
"Dec 02, 2019","29.96","30.40","30.54","29.94","7.88K","-1.54%"
"Dec 01, 2019","30.43","30.43","30.43","30.43","-","0.03%"
"Nov 29, 2019","30.42","30.47","30.68","30.33","4.48K","0.23%"
"Nov 28, 2019","30.35","30.30","30.35","30.30","-","-0.07%"
"Nov 27, 2019","30.37","30.21","30.43","30.21","22.89K","0.50%"
"Nov 26, 2019","30.22","30.46","30.52","30.12","49.60K","-0.72%"
"Nov 25, 2019","30.44","30.91","31.10","30.33","56.12K","-1.42%"
"Nov 22, 2019","30.88","30.69","31.08","30.64","38.50K","0.62%"
"Nov 21, 2019","30.69","31.20","31.25","30.57","62.23K","-1.63%"
"Nov 20, 2019","31.20","31.00","31.39","30.94","67.26K","0.78%"
"Nov 19, 2019","30.96","30.64","31.24","30.57","81.33K","1.04%"
"Nov 18, 2019","30.64","30.48","30.83","30.45","50.94K","0.62%"
"Nov 17, 2019","30.45","30.51","30.51","30.45","-","0.07%"
"Nov 15, 2019","30.43","30.81","30.84","30.41","56.58K","-1.14%"
"Nov 14, 2019","30.78","30.53","30.92","30.46","75.32K","0.82%"
"Nov 13, 2019","30.53","31.02","31.22","30.51","83.63K","-1.61%"
"Nov 12, 2019","31.03","31.40","31.48","30.88","64.47K","-1.24%"
"Nov 11, 2019","31.42","31.50","31.89","31.40","69.13K","-0.25%"
"Nov 08, 2019","31.50","31.41","31.75","31.35","71.03K","0.22%"
"Nov 07, 2019","31.43","31.75","31.78","31.41","68.93K","-1.01%"
"Nov 06, 2019","31.75","31.60","31.84","31.45","63.26K","0.57%"
"Nov 05, 2019","31.57","31.81","31.96","31.53","57.26K","-0.94%"
"Nov 04, 2019","31.87","31.07","31.90","30.90","73.52K","2.64%"
