date_index,Date,UD_ind_WTI,UD_ind_lumber,UD_ind_live_cattle,UD_ind_OJ,UD_ind_us_cotton,UD_ind_us_soybean_oil,UD_ind_us_wheat,UD_ind_copper,Vol_WTI,Change_%_WTI,Vol_Lumber,Change_%_Lumber,Vol_Live_Cattle,Change_%_Live_Cattle,Vol_OJ,Change_OJ,Vol_US_Cotton_2,Change_US_Cotton_2,Vol_US_Soybean_Oil,Change_US_Soybean_Oil,Vol_US Wheat,Change_US Wheat,Vol_Copper,Change %_Copper
0,2019-12-31,0,1,1,1,0,0,1,0,494.54K,-1.01%,0.27K,0.27%,0.34K,0.48%,0.55K,2.21%,-,-0.88%,5.09K,-1.93%,-,0.70%,42.72K,-1.27%
1,2019-12-30,0,0,1,0,1,1,0,1,427.15K,-0.06%,0.28K,-1.20%,0.79K,0.49%,0.85K,-2.36%,-,1.22%,34.42K,0.23%,-,-0.34%,46.91K,0.14%
2,2019-12-27,1,1,1,1,1,1,1,0,351.90K,0.06%,0.14K,0.71%,1.01K,0.18%,1.05K,0.83%,-,0.10%,42.25K,1.02%,-,1.30%,52.67K,-0.70%
3,2019-12-26,1,1,0,0,0,1,1,1,265.09K,0.80%,0.12K,0.02%,1.04K,-1.99%,0.69K,-3.30%,-,-0.06%,28.47K,1.51%,-,1.71%,33.11K,0.39%
4,2019-12-25,1,0,1,1,0,0,0,1,-,0.13%,-,-0.17%,-,2.55%,-,0.05%,-,0.00%,-,-0.03%,-,0.00%,-,0.35%
5,2019-12-24,1,0,1,0,1,1,1,1,204.54K,0.97%,0.07K,-0.44%,0.54K,0.20%,0.44K,-1.33%,-,0.32%,24.71K,0.30%,-,0.19%,39.23K,0.71%
6,2019-12-23,1,0,1,1,1,0,0,1,314.71K,0.13%,0.32K,-1.14%,0.71K,0.14%,1.34K,0.55%,-,0.82%,40.22K,-0.73%,-,-0.48%,41.19K,0.07%
7,2019-12-20,0,0,1,1,1,0,0,0,552.52K,-1.27%,0.30K,-0.93%,1.52K,0.08%,1.59K,0.90%,-,0.34%,63.37K,0.00%,-,-0.55%,53.80K,-0.71%
8,2019-12-19,1,1,0,1,1,1,0,1,35.46K,0.48%,0.52K,2.56%,2.09K,-0.10%,1.57K,2.10%,-,1.41%,51.29K,1.08%,-,-0.39%,43.42K,0.50%
9,2019-12-18,0,1,1,1,1,0,0,0,131.07K,-0.02%,0.19K,0.10%,1.66K,0.02%,1.39K,0.41%,-,0.47%,65.32K,-1.15%,-,-1.13%,55.98K,-0.04%
