date,precip_VAN,precip_TOR,precip_MON,precip_LEO,precip_GUA,precip_MEX,precip_PUE,precip_HUS,precip_DAL,precip_TUL,precip_JUA,precip_PHO,precip_SDO,temp_VAN,temp_TOR,temp_MON,temp_LEO,temp_GUA,temp_MEX,temp_PEU,temp_HUS,temp_DAL,temp_TUL,temp_JUA,temp_PHO,temp_SDO,UD_ind_WTI_0.25,UD_ind_lumber_0.25,UD_ind_live_cattle_0.25,UD_ind_OJ_0.25,UD_ind_us_cotton_0.25,UD_ind_us_soybean_oil_0.25,UD_ind_us_wheat_0.25,UD_ind_copper_0.25,UD_ind_WTI,UD_ind_lumber,UD_ind_live_cattle,UD_ind_OJ,UD_ind_us_cotton,UD_ind_us_soybean_oil,UD_ind_us_wheat,UD_ind_copper,Vol_WTI,Change_%_WTI,Vol_Lumber,Change_%_Lumber,Vol_Live_Cattle,Change_%_Live_Cattle,Vol_OJ,Change_OJ,Vol_US_Cotton_2,Change_US_Cotton_2,Vol_US_Soybean_Oil,Change_US_Soybean_Oil,Vol_US Wheat,Change_US Wheat,Vol_Copper,Change %_Copper,Vol._x,Change_%_comm_soft,Vol._y,Change_%_comm_DJ
2009-01-01,9.4,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,1.4,-9.8,0,13.8,0,0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-02,0.5,1.7,0,0.0,0,0,0.0,0,0,0,0,0,0,1.3,-1.1,0,13.6,0,0,13.1,0,0,0,0,0,0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,184.68K,3.90%,0.10K,-0.24%,16.54K,3.11%,0.13K,5.91%,0,0,14.41K,0.87%,23.82K,0.04%,0.26K,3.51%,0,0,0,0
2009-01-03,2.3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.0,-3.6,0,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-04,6.1,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,1.2,-6.1,0,13.3,0,0,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-05,12.4,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,1.5,-1.8,0,14.6,0,0,12.6,0,0,0,0,0,0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,258.76K,5.33%,0.60K,-2.78%,12.00K,0.52%,0.03K,4.96%,0,0,12.15K,3.93%,24.45K,0.94%,0.25K,-0.14%,0,0,0,0
2009-01-06,13.2,3.8,0,0.0,0,0,0.0,0,0,0,0,0,0,2.6,-3.7,0,14.6,0,0,12.5,0,0,0,0,0,0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,331.31K,-0.47%,0.51K,2.37%,18.45K,1.14%,0.02K,1.38%,0,0,11.00K,6.16%,43.52K,4.34%,0.14K,8.60%,0,0,0,0
2009-01-07,19.1,12.6,0,0.0,0,0,0.0,0,0,0,0,0,0,5.1,0.3,0,13.8,0,0,13.1,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,306.26K,-12.25%,0.20K,-2.14%,17.43K,-3.13%,0.07K,0.65%,0,0,8.33K,-3.05%,38.68K,-4.70%,0.23K,-4.60%,0,0,0,0
2009-01-08,18.0,0.6,0,0.0,0,0.0,0.0,0,0,0,0,0,0,6.4,-3.3,0,13.1,0,18.5,14.8,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.49K,-2.18%,0.15K,-2.07%,27.75K,-3.06%,0,-1.74%,0,0,4.29K,-1.11%,33.95K,-0.12%,0.23K,-2.07%,0,0,0,0
2009-01-09,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2.9,-7.3,0,14.0,15.7,17.3,14.8,0,0,0,0,0,0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,277.43K,-2.09%,0.39K,0.56%,25.16K,-0.06%,0,1.31%,0,0,4.75K,2.76%,32.55K,2.78%,0.20K,5.67%,0,0,0,0
2009-01-10,10.9,6.4,0,0.0,0,0.0,0.0,0,0,0,0,0,0,3.1,-8.3,0,16.1,0,19.2,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-11,26.7,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,3.8,-8.2,0,16.4,0,14.9,17.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-12,1.5,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,5.1,-5.1,0,14.7,0,0,14.7,0,0,0,0,0,0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.83K,-7.94%,0.12K,-2.34%,22.83K,-0.24%,0.96K,-3.81%,0,0,2.43K,-6.36%,40.15K,-9.49%,0.24K,-4.59%,0,0,0,0
2009-01-13,1.0,4.0,0,0.0,0.0,0.8,0.0,0,0,0,0,0,0,5.8,-1.6,0,15.0,20.8,14.1,13.8,0,0,0,0,0,0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,340.62K,0.51%,0.13K,-1.26%,28.15K,1.42%,0.52K,1.48%,0,0,1.65K,1.23%,35.21K,0.18%,0.20K,3.86%,0,0,0,0
2009-01-14,0.3,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,3.5,-14.7,0,12.8,18.7,0,10.2,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,311.08K,-1.32%,0.23K,-11.07%,32.34K,-0.86%,0.53K,-1.92%,0,0,0.15K,-1.73%,30.13K,0.61%,0.21K,-3.85%,0,0,0,0
2009-01-15,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3.2,-13.0,0,15.4,17.1,14.3,12.6,0,0,0,0,0,0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,179.93K,-5.04%,0.22K,2.23%,20.66K,1.20%,1.43K,-4.25%,0,0,42.14K,1.18%,25.27K,-0.96%,0.14K,-2.38%,0,0,0,0
2009-01-16,0.0,0.0,0,1.0,0,0,8.4,0,0,0,0,0,0,1.9,-13.5,0,11.6,0,0,10.8,0,0,0,0,0,0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,97.98K,3.14%,0.33K,19.63%,10.71K,0.21%,0.30K,1.62%,0,0,30.51K,0.55%,25.14K,1.67%,0.22K,5.29%,0,0,0,0
2009-01-17,0.0,3.4,0,0.0,0.0,0,1.0,0,0,0,0,0,0,1.7,-13.3,0,11.7,15.3,0,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-18,0.0,2.8,0,0.0,0,0,0.0,0,0,0,0,0,0,1.9,-4.5,0,14.2,0,0,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-19,0.0,0.6,0,7.9,0,0.0,0.0,0,0,0,0,0,0,1.9,-6.4,0,14.3,0,12.8,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
