Date,Open,High,Low,Close
2015-05-14,123.85,123.85,123.85,123.85
2015-05-15,124.2176915,124.2176915,124.2176915,124.2176915
2015-05-16,124.4313595,124.4313595,124.4313595,124.4313595
2015-05-17,124.64541,124.64541,124.64541,124.64541
2015-05-18,124.8598139,124.8598139,124.8598139,124.8598139
2015-05-19,125.0839558,125.0839558,125.0839558,125.0839558
2015-05-20,125.2991149,125.2991149,125.2991149,125.2991149
2015-05-21,125.5147113,125.5147113,125.5147113,125.5147113
2015-05-22,125.8877189,125.8877189,125.8877189,125.8877189
2015-05-23,126.1168726,126.1168726,126.1168726,126.1168726
2015-05-24,126.4916704,126.4916704,126.4916704,126.4916704
2015-05-25,126.867582,126.867582,126.867582,126.867582
2015-05-26,127.0880192,127.0880192,127.0880192,127.0880192
2015-05-27,127.4656237,127.4656237,127.4656237,127.4656237
2015-05-28,127.8444298,127.8444298,127.8444298,127.8444298
2015-05-29,128.2239882,128.2239882,128.2239882,128.2239882
2015-05-30,128.1173157,128.1173157,128.1173157,128.1173157
2015-05-31,128.4672001,128.4672001,128.4672001,128.4672001
2015-06-01,128.8289071,128.8289071,128.8289071,128.8289071
2015-06-02,129.20734,129.20734,129.20734,129.20734
2015-06-03,129.5913088,129.5913088,129.5913088,129.5913088
2015-06-04,129.8552617,129.8552617,129.8552617,129.8552617
2015-06-05,130.1460261,130.1460261,130.1460261,130.1460261
2015-06-06,130.4895158,130.4895158,130.4895158,130.4895158
2015-06-07,130.8773069,130.8773069,130.8773069,130.8773069
2015-06-08,131.2662519,131.2662519,131.2662519,131.2662519
2015-06-09,131.4920471,131.4920471,131.4920471,131.4920471
2015-06-10,131.8828185,131.8828185,131.8828185,131.8828185
2015-06-11,132.236586,132.236586,132.236586,132.236586
2015-06-12,132.6293547,132.6293547,132.6293547,132.6293547
2015-06-13,133.0234658,133.0234658,133.0234658,133.0234658
2015-06-14,133.2522807,133.2522807,133.2522807,133.2522807
2015-06-15,133.4814893,133.4814893,133.4814893,133.4814893
2015-06-16,133.711093,133.711093,133.711093,133.711093
2015-06-17,133.9410907,133.9410907,133.9410907,133.9410907
2015-06-18,134.171484,134.171484,134.171484,134.171484
2015-06-19,134.4022735,134.4022735,134.4022735,134.4022735
2015-06-20,134.6334602,134.6334602,134.6334602,134.6334602
2015-06-21,134.9435517,134.9435517,134.9435517,134.9435517
2015-06-22,135.1756694,135.1756694,135.1756694,135.1756694
2015-06-23,135.4392709,135.4392709,135.4392709,135.4392709
2015-06-24,135.6722413,135.6722413,135.6722413,135.6722413
2015-06-25,135.9056125,135.9056125,135.9056125,135.9056125
2015-06-26,136.1393855,136.1393855,136.1393855,136.1393855
2015-06-27,136.3729127,136.3729127,136.3729127,136.3729127
2015-06-28,136.607489,136.607489,136.607489,136.607489
2015-06-29,136.8424689,136.8424689,136.8424689,136.8424689
2015-06-30,137.0778529,137.0778529,137.0778529,137.0778529
2015-07-01,137.3136418,137.3136418,137.3136418,137.3136418
2015-07-02,137.5498321,137.5498321,137.5498321,137.5498321
2015-07-03,137.8751136,137.8751136,137.8751136,137.8751136
2015-07-04,138.2847219,138.2847219,138.2847219,138.2847219
2015-07-05,138.5225868,138.5225868,138.5225868,138.5225868
2015-07-06,138.7608609,138.7608609,138.7608609,138.7608609
2015-07-07,138.9995447,138.9995447,138.9995447,138.9995447
2015-07-08,139.2386392,139.2386392,139.2386392,139.2386392
2015-07-09,139.4781449,139.4781449,139.4781449,139.4781449
2015-07-10,139.7180626,139.7180626,139.7180626,139.7180626
2015-07-11,139.958393,139.958393,139.958393,139.958393
2015-07-12,140.1991368,140.1991368,140.1991368,140.1991368
2015-07-13,140.4402946,140.4402946,140.4402946,140.4402946
2015-07-14,140.6818673,140.6818673,140.6818673,140.6818673
2015-07-15,140.9238556,140.9238556,140.9238556,140.9238556
2015-07-16,141.1662601,141.1662601,141.1662601,141.1662601
2015-07-17,141.4090815,141.4090815,141.4090815,141.4090815
2015-07-18,141.6523206,141.6523206,141.6523206,141.6523206
2015-07-19,141.8959781,141.8959781,141.8959781,141.8959781
2015-07-20,142.1400548,142.1400548,142.1400548,142.1400548
2015-07-21,142.3845512,142.3845512,142.3845512,142.3845512
2015-07-22,142.6294683,142.6294683,142.6294683,142.6294683
2015-07-23,142.9926074,142.9926074,142.9926074,142.9926074
2015-07-24,143.2385704,143.2385704,143.2385704,143.2385704
2015-07-25,143.486552,143.486552,143.486552,143.486552
2015-07-26,143.7333667,143.7333667,143.7333667,143.7333667
2015-07-27,143.9806038,143.9806038,143.9806038,143.9806038
2015-07-28,144.2282662,144.2282662,144.2282662,144.2282662
2015-07-29,144.4763546,144.4763546,144.4763546,144.4763546
2015-07-30,144.7248698,144.7248698,144.7248698,144.7248698
2015-07-31,144.9738124,144.9738124,144.9738124,144.9738124
2015-08-01,145.2231833,145.2231833,145.2231833,145.2231833
2015-08-02,145.4729831,145.4729831,145.4729831,145.4729831
