,date,datatype,station,attributes,value
0,2017-01-01T00:00:00,AWND,GHCND:USW00094728,",,W,",2.5
1,2017-01-01T00:00:00,PRCP,GHCND:USW00094728,"T,,W,2400",0.0
2,2017-01-01T00:00:00,SNOW,GHCND:USW00094728,",,W,",0.0
3,2017-01-01T00:00:00,SNWD,GHCND:USW00094728,",,W,2400",0.0
4,2017-01-01T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",8.9
5,2017-01-01T00:00:00,TMIN,GHCND:USW00094728,",,W,2400",4.4
6,2017-01-01T00:00:00,WDF2,GHCND:USW00094728,",,W,",260.0
7,2017-01-01T00:00:00,WDF5,GHCND:USW00094728,",,W,",310.0
8,2017-01-01T00:00:00,WSF2,GHCND:USW00094728,",,W,",6.7
9,2017-01-01T00:00:00,WSF5,GHCND:USW00094728,",,W,",10.3
10,2017-01-01T00:00:00,WT08,GHCND:USW00094728,",,W,",1.0
11,2017-01-02T00:00:00,AWND,GHCND:USW00094728,",,W,",4.1
12,2017-01-02T00:00:00,PRCP,GHCND:USW00094728,",,W,2400",5.3
13,2017-01-02T00:00:00,SNOW,GHCND:USW00094728,"T,,W,",0.0
14,2017-01-02T00:00:00,SNWD,GHCND:USW00094728,",,W,2400",0.0
15,2017-01-02T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",5.0
16,2017-01-02T00:00:00,TMIN,GHCND:USW00094728,",,W,2400",2.8
17,2017-01-02T00:00:00,WDF2,GHCND:USW00094728,",,W,",70.0
18,2017-01-02T00:00:00,WDF5,GHCND:USW00094728,",,W,",70.0
19,2017-01-02T00:00:00,WSF2,GHCND:USW00094728,",,W,",7.6
20,2017-01-02T00:00:00,WSF5,GHCND:USW00094728,",,W,",11.2
21,2017-01-02T00:00:00,WT01,GHCND:USW00094728,",,W,",1.0
22,2017-01-02T00:00:00,WT04,GHCND:USW00094728,",,W,",1.0
23,2017-01-03T00:00:00,AWND,GHCND:USW00094728,",,W,",4.8
