date,prcp_van,prcp_tor,prcp_la,prcp_den,prcp_avon,prcp_pierce,prcp_lake,prcp_moore,prcp_okee,prcp_orlan,prcp_sdo,prcp_sfo,prcp_nyc,tavg_van,tavg_tor,tavg_la,tavg_den,tavg_avon,tavg_pierce,tavg_lake,tavg_moore,tavg_okee,tavg_orlan,tavg_sdo,tavg_sfo,tavg_nyc
2007-01-01,3.8,0,0,,0,0,2.8,0,0,0,0,0,38.6,5.3,6.35,14.75,,23.05,22.5,20.55,22.5,23.6,21.4,13.05,11.7,10.25
2007-01-02,,0,0,,5.8,0,2.5,0,0,4.8,0,0,0,,3.55,16.35,,19.7,22.2,17.5,21.95,21.7,17.5,14.7,12.8,7.5
2007-01-03,9.9,0,0,,0,0,1,0,0,13,0,2.5,0,8.65,5.25,15.25,,19.75,20.55,20.85,21.1,20.55,22.25,13.35,12.5,7.2
2007-01-04,0,3.2,0.3,,0,0,1.3,0,0,0,1,4.3,0,5.25,7.45,14.45,,23.05,23.65,21.7,22.2,21.4,22.8,13.9,10,9.7
2007-01-05,,6.4,0.3,,0,0.5,0,0,0,0,0,0,0.8,,9.8,12.5,,22.5,23.65,22.5,22.8,23.65,22.25,13.35,10,14.2
2007-01-06,2.8,5,0,4.1,0,0,0,0.8,0,0,0,0,0.3,4.15,7.05,12.5,-5,22.8,22.75,23.9,23.05,24.2,24.2,12.5,10.3,17.2
2007-01-07,,0.8,0,0,0,0,0,0,0,0,0,0,4.3,,4.05,16.95,-3.85,23.35,23.05,21.95,22.75,23.85,23.35,15.85,11.95,9.45
2007-01-08,0.5,1.8,0,0,0,0,1.3,0,0,0,0,0,31.8,6.55,2.95,22.25,-0.3,23.3,23.6,23.6,22.8,25,20.8,15.85,12.8,8.3
2007-01-09,,0,0,0,0,0,0,0,0,0,0,0,0,,-0.6,21.15,-5.55,18.85,19.7,13.65,19.45,18.85,13.9,16.95,13.6,3.9
2007-01-10,,0,0,0,0,0,0,0,0,0,0,0,0,,-3.8,15.85,2.5,13.6,13.9,13.05,12.8,12.75,12.75,13.9,8.9,0.25
