,date,datatype,station,attributes,value
0,2015-01-01T00:00:00,AWND,GHCND:USW00094728,",,W,",3.2
1,2015-01-01T00:00:00,PRCP,GHCND:USW00094728,",,W,2400",0.0
2,2015-01-01T00:00:00,SNOW,GHCND:USW00094728,",,W,",0.0
3,2015-01-01T00:00:00,SNWD,GHCND:USW00094728,",,W,",0.0
4,2015-01-01T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",3.9
5,2015-01-01T00:00:00,TMIN,GHCND:USW00094728,",,W,2400",-2.7
6,2015-01-01T00:00:00,WDF2,GHCND:USW00094728,",,W,",260.0
7,2015-01-01T00:00:00,WDF5,GHCND:USW00094728,",,W,",250.0
8,2015-01-01T00:00:00,WSF2,GHCND:USW00094728,",,W,",7.6
9,2015-01-01T00:00:00,WSF5,GHCND:USW00094728,",,W,",13.9
10,2015-01-02T00:00:00,AWND,GHCND:USW00094728,",,W,",3.2
11,2015-01-02T00:00:00,PRCP,GHCND:USW00094728,",,W,2400",0.0
12,2015-01-02T00:00:00,SNOW,GHCND:USW00094728,",,W,",0.0
13,2015-01-02T00:00:00,SNWD,GHCND:USW00094728,",,W,",0.0
14,2015-01-02T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",5.6
15,2015-01-02T00:00:00,TMIN,GHCND:USW00094728,",,W,2400",1.7
16,2015-01-02T00:00:00,WDF2,GHCND:USW00094728,",,W,",260.0
17,2015-01-02T00:00:00,WDF5,GHCND:USW00094728,",,W,",310.0
18,2015-01-02T00:00:00,WSF2,GHCND:USW00094728,",,W,",6.7
19,2015-01-02T00:00:00,WSF5,GHCND:USW00094728,",,W,",11.2
20,2015-01-03T00:00:00,AWND,GHCND:USW00094728,",,W,",2.9
21,2015-01-03T00:00:00,PRCP,GHCND:USW00094728,",,W,2400",18.0
22,2015-01-03T00:00:00,SNOW,GHCND:USW00094728,"T,,W,",0.0
23,2015-01-03T00:00:00,SNWD,GHCND:USW00094728,",,W,",0.0
24,2015-01-03T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",5.6
25,2015-01-03T00:00:00,TMIN,GHCND:USW00094728,",,W,2400",0.6
26,2015-01-03T00:00:00,WDF2,GHCND:USW00094728,",,W,",80.0
27,2015-01-03T00:00:00,WDF5,GHCND:USW00094728,",,W,",70.0
28,2015-01-03T00:00:00,WSF2,GHCND:USW00094728,",,W,",5.4
29,2015-01-03T00:00:00,WSF5,GHCND:USW00094728,",,W,",8.1
30,2015-01-03T00:00:00,WT01,GHCND:USW00094728,",,W,",1.0
31,2015-01-03T00:00:00,WT08,GHCND:USW00094728,",,W,",1.0
32,2015-01-04T00:00:00,AWND,GHCND:USW00094728,",,W,",2.9
33,2015-01-04T00:00:00,PRCP,GHCND:USW00094728,",,W,2400",7.6
34,2015-01-04T00:00:00,SNOW,GHCND:USW00094728,",,W,",0.0
35,2015-01-04T00:00:00,SNWD,GHCND:USW00094728,",,W,",0.0
36,2015-01-04T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",13.3
37,2015-01-04T00:00:00,TMIN,GHCND:USW00094728,",,W,2400",5.0
38,2015-01-04T00:00:00,WDF2,GHCND:USW00094728,",,W,",280.0
39,2015-01-04T00:00:00,WDF5,GHCND:USW00094728,",,W,",260.0
40,2015-01-04T00:00:00,WSF2,GHCND:USW00094728,",,W,",13.0
41,2015-01-04T00:00:00,WSF5,GHCND:USW00094728,",,W,",20.6
42,2015-01-04T00:00:00,WT01,GHCND:USW00094728,",,W,",1.0
43,2015-01-05T00:00:00,AWND,GHCND:USW00094728,",,W,",4.7
44,2015-01-05T00:00:00,PRCP,GHCND:USW00094728,",,W,2400",0.0
45,2015-01-05T00:00:00,SNOW,GHCND:USW00094728,",,W,",0.0
46,2015-01-05T00:00:00,SNWD,GHCND:USW00094728,",,W,",0.0
47,2015-01-05T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",9.4
