,date,datatype,station,attributes,value
0,2019-01-01T00:00:00,PRCP,GHCND:MXM00076680,",,S,",0.0
1,2019-01-01T00:00:00,TAVG,GHCND:MXM00076680,"H,,S,",16.6
2,2019-01-01T00:00:00,TMAX,GHCND:MXM00076680,",,S,",24.5
3,2019-01-01T00:00:00,TMIN,GHCND:MXM00076680,",,S,",8.4
4,2019-01-02T00:00:00,PRCP,GHCND:MXM00076680,",,S,",0.0
5,2019-01-02T00:00:00,TAVG,GHCND:MXM00076680,"H,,S,",16.9
6,2019-01-02T00:00:00,TMAX,GHCND:MXM00076680,",,S,",24.9
7,2019-01-02T00:00:00,TMIN,GHCND:MXM00076680,",,S,",7.2
8,2019-01-03T00:00:00,TAVG,GHCND:MXM00076680,"H,,S,",15.6
9,2019-01-04T00:00:00,PRCP,GHCND:MXM00076680,",,S,",0.0
10,2019-01-04T00:00:00,TAVG,GHCND:MXM00076680,"H,,S,",18.2
11,2019-01-04T00:00:00,TMAX,GHCND:MXM00076680,",,S,",23.5
12,2019-01-04T00:00:00,TMIN,GHCND:MXM00076680,",,S,",7.0
13,2019-01-05T00:00:00,PRCP,GHCND:MXM00076680,",,S,",0.0
14,2019-01-05T00:00:00,TAVG,GHCND:MXM00076680,"H,,S,",18.8
15,2019-01-05T00:00:00,TMAX,GHCND:MXM00076680,",,S,",24.0
16,2019-01-05T00:00:00,TMIN,GHCND:MXM00076680,",,S,",7.5
17,2019-01-06T00:00:00,PRCP,GHCND:MXM00076680,",,S,",0.0
18,2019-01-06T00:00:00,TAVG,GHCND:MXM00076680,"H,,S,",17.6
19,2019-01-06T00:00:00,TMAX,GHCND:MXM00076680,",,S,",24.4
20,2019-01-06T00:00:00,TMIN,GHCND:MXM00076680,",,S,",8.6
21,2019-01-07T00:00:00,PRCP,GHCND:MXM00076680,",,S,",0.0
22,2019-01-07T00:00:00,TAVG,GHCND:MXM00076680,"H,,S,",18.9
23,2019-01-07T00:00:00,TMAX,GHCND:MXM00076680,",,S,",24.4
24,2019-01-07T00:00:00,TMIN,GHCND:MXM00076680,",,S,",9.5
25,2019-01-08T00:00:00,PRCP,GHCND:MXM00076680,",,S,",0.0
26,2019-01-08T00:00:00,TAVG,GHCND:MXM00076680,"H,,S,",15.9
27,2019-01-08T00:00:00,TMAX,GHCND:MXM00076680,",,S,",23.5
28,2019-01-08T00:00:00,TMIN,GHCND:MXM00076680,",,S,",7.0
29,2019-01-09T00:00:00,PRCP,GHCND:MXM00076680,",,S,",0.0
30,2019-01-09T00:00:00,TAVG,GHCND:MXM00076680,"H,,S,",15.5
31,2019-01-09T00:00:00,TMAX,GHCND:MXM00076680,",,S,",23.7
32,2019-01-09T00:00:00,TMIN,GHCND:MXM00076680,",,S,",7.0
33,2019-01-10T00:00:00,PRCP,GHCND:MXM00076680,",,S,",0.0
34,2019-01-10T00:00:00,TAVG,GHCND:MXM00076680,"H,,S,",14.4
35,2019-01-10T00:00:00,TMAX,GHCND:MXM00076680,",,S,",21.1
36,2019-01-10T00:00:00,TMIN,GHCND:MXM00076680,",,S,",6.0
37,2019-01-11T00:00:00,PRCP,GHCND:MXM00076680,",,S,",0.0
38,2019-01-11T00:00:00,TAVG,GHCND:MXM00076680,"H,,S,",17.8
39,2019-01-12T00:00:00,PRCP,GHCND:MXM00076680,",,S,",0.0
40,2019-01-12T00:00:00,TAVG,GHCND:MXM00076680,"H,,S,",16.2
